id,name,jl_number,block_id,latitude,longitude
9223,Jashpur,173,68.0,23.770341,87.43438359999999
9224,Kantari,174,68.0,23.7763685,87.4393397
9225,Koraturi,175,68.0,23.7801763,87.44491459999999
9226,Beleturi,176,68.0,23.7795858,87.4542046
9227,Pirajpur,177,68.0,24.5183641,88.1047287
9228,Jhariya Md.Pur,178,68.0,-1.0,-1.0
9229,Bhadutia,179,68.0,23.7973409,87.4492502
9230,Bishalpur,180,68.0,23.7944902,87.45668169999999
9231,Kolara,181,68.0,23.1230269,88.4343306
9232,Deychandara,182,68.0,-1.0,-1.0
9233,Teliadanga,183,68.0,23.9373131,88.6470477
9234,Mandarhati,184,68.0,-1.0,-1.0
9235,Dostabad,185,68.0,23.8069457,87.4913461
9236,Mohamadnagar,186,68.0,-1.0,-1.0
9237,Namsahapur,187,68.0,23.7996139,87.4975335
9238,Ramchandrapur,188,68.0,22.8911172,88.4706642
9239,Dhuliara,189,68.0,22.9658103,88.3457906
9240,Shukdebpur,190,68.0,25.2788014,88.46703219999999
9242,Purbbapratappur,192,68.0,23.7919215,87.4814447
9243,Selarpur,193,68.0,22.4490894,88.39147310000001
9244,Thobgram,194,68.0,26.6954603,88.44159979999999
9245,Kuita,195,68.0,23.7757514,87.4925837
9246,Rengguni,196,68.0,-1.0,-1.0
9247,Damdama,197,68.0,23.7372649,87.6950899
9248,Chandidaspur,198,68.0,23.7858149,87.471541
9249,Chhotosalunchi,199,68.0,-1.0,-1.0
9250,Paratpur,200,68.0,23.7736808,87.45668169999999
9251,Ghoratari,201,68.0,23.9405787,87.4839202
9252,Dhagram,202,68.0,26.6954603,88.44159979999999
9253,Ghorapara,203,68.0,22.1492586,87.133561
9254,Palsara,204,68.0,23.7408161,87.44677279999999
9255,Kandighi,205,68.0,23.7407346,87.4418175
9256,Ganra,206,68.0,23.7274578,87.44801149999999
9257,Bhaluka,207,68.0,23.3701939,88.44402250000002
9258,Bodhgram,208,68.0,23.703428,87.4331445
9259,Brahmandihi,209,68.0,23.7663338,87.9108016
9260,Khagra,210,68.0,24.107308,88.2582857
9261,Paduma,211,68.0,23.7157276,87.4579201
9262,Khandagram,212,68.0,23.7101038,87.47773099999999
9263,Basahari,213,68.0,23.7278624,87.4727791
9264,Aroyan,214,68.0,-1.0,-1.0
9265,Nawadangal,215,68.0,-1.0,-1.0
9266,Chakamuliya,216,68.0,26.0237418,87.9601283
9267,Nejani,217,68.0,23.7463937,87.46968389999999
9268,Sekendarpur,218,68.0,22.756538,87.8954717
9269,Bidaipur,219,68.0,23.7395124,87.4579201
9270,Sajina,220,68.0,23.9647544,87.4182728
9271,Barasalunchi,221,68.0,23.7648028,87.4591586
9272,Shibrawtara,222,68.0,23.2688082,87.83247469999999
9273,Jatra,223,68.0,22.6769795,87.2593454
9274,Chhoto Gunsima,224,68.0,-1.0,-1.0
9275,Bhagabatipur,225,68.0,22.6916409,88.191323
9276,Baragunsima,226,68.0,23.7534344,87.4913461
9277,Sija,227,68.0,23.0516879,88.4464452
9278,Ghoga,228,68.0,23.7416221,87.4962961
9279,Belhari,229,68.0,-1.0,-1.0
9280,Khosnagar,230,68.0,23.7355561,87.48887099999999
9281,Karkari,231,68.0,23.2223131,86.81952369999999
9282,Sirasa,232,68.0,-1.0,-1.0
9283,Kalyanpur,233,68.0,22.5006615,87.91509309999999
9284,Kanchannagar,234,68.0,23.2370718,87.82535730000001
