id,name,jl_number,block_id,latitude,longitude
7154,Palashpuli,81,51.0,23.4552297,88.32280899999999
7155,Belgachhi,82,51.0,22.3455601,88.5903465
7156,Kumirpara,83,51.0,23.4524398,88.3025126
7157,Telinawapara,84,51.0,22.8353729,88.36099349999999
7158,Parulia,85,51.0,-1.0,-1.0
7159,Shyambati,95,51.0,22.8591645,87.7775631
7160,Baidyapur,96,51.0,23.1597449,88.24490139999999
7161,Gobindapur,104,51.0,-1.0,-1.0
7162,Kharda Kaibati,105,51.0,-1.0,-1.0
7163,Kaybati,106,51.0,23.4500923,88.25637189999999
7164,Nabagram,1,52.0,-1.0,-1.0
7165,Aushgram,2,52.0,-1.0,-1.0
7166,Belenda,3,52.0,23.3909181,87.91999700000001
7167,Fulgram,4,52.0,23.4380193,88.05847229999999
7168,Indrapur,5,52.0,-1.0,-1.0
7169,Pakurmuri,6,52.0,-1.0,-1.0
7170,Baghasan,7,52.0,23.4331584,88.08274809999999
7171,Chhoto Dheria,8,52.0,-1.0,-1.0
7172,Atashpur,9,52.0,-1.0,-1.0
7173,Jaypur,10,52.0,-1.0,-1.0
7174,Khanpur,11,52.0,22.6729089,88.2598404
7175,Bhojpur,12,52.0,-1.0,-1.0
7176,Kalui,13,52.0,-1.0,-1.0
7177,Susuna,14,52.0,-1.0,-1.0
7178,Ghoradanga,15,52.0,23.401539,88.05220130000001
7179,Hosenpur,16,52.0,23.2366203,88.6458421
7180,Banui,17,52.0,23.3804351,88.0301946
7181,Gopalnagar,18,52.0,23.0613166,88.76178700000001
7182,Paschim Mamudpur,19,52.0,23.367029,88.02897159999999
7183,Paschim Kharampur,20,52.0,23.3775816,88.0399767
7184,Tula,21,52.0,26.722203,88.428304
7185,Bhandarpur,22,52.0,22.5830211,86.9454758
7186,Panbareya,23,52.0,26.7005024,88.85251389999999
7187,Shushuniya,24,52.0,23.1798516,87.006192
7188,Mulgram,25,52.0,-1.0,-1.0
7189,Sijna,26,52.0,23.3663984,88.0986241
7190,Ujna,27,52.0,23.369492,88.108391
7191,Bhadai,28,52.0,23.3722909,88.0937397
7192,Kharampur,29,52.0,22.529315,88.8431038
7193,Jhikra,30,52.0,22.8912488,88.6506644
7194,Tajpur,31,52.0,-1.0,-1.0
7195,Kamra,32,52.0,-1.0,-1.0
7196,Mitani,33,52.0,23.6936126,86.89477889999999
7197,Budhpur,34,52.0,-1.0,-1.0
7198,Kuli,35,52.0,23.9714052,87.9616593
7199,Kaleswar,36,52.0,23.9572153,87.8469946
7200,Balarampur,37,52.0,23.0943913,86.22029619999999
7201,Singhali,38,52.0,23.4021666,88.1035078
7202,Balijuri,39,52.0,23.6333325,87.3314264
7203,Jayrampur,40,52.0,22.5930997,88.16938569999999
7204,Manteswar,41,52.0,23.4215525,88.10717029999999
7205,Lohar,42,52.0,23.4452979,88.1022869
7206,Patikhaldanga,43,52.0,23.4454157,88.1120531
7207,Varucha,44,52.0,23.4379916,88.1132737
7208,Daukadanga,45,52.0,23.4351914,88.12791849999999
7209,Patun,46,52.0,23.4455329,88.12181710000002
7210,Bhurkunda,47,52.0,-1.0,-1.0
7211,Dhenuya,48,52.0,23.4574348,88.12181710000002
7212,Galatun,49,52.0,23.4634339,88.135103
7213,Sahajadpur,50,52.0,24.0085658,88.47671679999999
7214,Putshudichak,51,52.0,-1.0,-1.0
7215,Purba Khanpur,52,52.0,-1.0,-1.0
7216,Charkadanga,53,52.0,22.8379499,87.9739055
7217,Bamunpara,54,52.0,23.201581,87.9348203
7218,Gulitadaspur,55,52.0,23.4565379,88.17182369999999
7219,Kasa,56,52.0,-1.0,-1.0
7220,Samaspur,57,52.0,-1.0,-1.0
7221,Hurkadanga,58,52.0,23.0918553,88.6036238
7222,Lohana,59,52.0,23.4503428,88.2026276
7223,Natungram,60,52.0,-1.0,-1.0
7224,Bara Kalmi,61,52.0,-1.0,-1.0
7225,Sirajpur,62,52.0,23.3192924,88.0191871
7226,Purba Balarampur,63,52.0,25.1581959,88.0162469
7227,Putsuri,64,52.0,23.4416033,88.16694749999999
7228,Bigha,65,52.0,-1.0,-1.0
7229,Denur,66,52.0,23.4458231,88.14621770000001
7230,Mausa,67,52.0,23.4293563,88.13767899999999
7231,Ibrambad,68,52.0,23.4220758,88.1510962
7232,Sahapur,69,52.0,22.5171539,88.17060470000001
7233,Ruigaria,70,52.0,23.4054351,88.12791849999999
7234,Kusumgram,71,52.0,23.389141,88.13401909999999
7235,Kulut,72,52.0,23.4012746,88.1535352
7236,Akbarnagar,73,52.0,-1.0,-1.0
7237,Kanchandanga,74,52.0,27.7024914,88.14753499999999
7238,Hatdanga,75,52.0,23.4207454,88.1645092
7239,Chak Brahmapur,76,52.0,23.4164097,88.17548049999999
7240,Uttardihi,77,52.0,23.422474,88.1852304
7241,Masdanga,78,52.0,23.4211125,88.1961965
7242,Kaigram,79,52.0,23.4105712,88.1852304
7243,Brahmapur,80,52.0,-1.0,-1.0
7244,Routhgram,81,52.0,23.4185927,88.1919155
7245,Dwari,82,52.0,23.4271756,88.2059418
7246,Mathura,83,52.0,21.997899,87.63591249999999
7247,Hazrapur,84,52.0,23.428816,88.2193381
7248,Chak Dhabari,85,52.0,23.4311098,88.22481719999999
7249,Sutra,86,52.0,23.4110166,88.2242084
7250,Garh Sonadanga,87,52.0,-1.0,-1.0
7251,Bandhupur,88,52.0,23.385653,88.21812039999999
7252,Mirgahar,89,52.0,23.3751958,88.21446720000002
7253,Gohaildanga,90,52.0,23.3885181,88.2083778
7254,Baruna,91,52.0,25.5433455,88.2874736
7255,Purunia,92,52.0,21.774129,87.4133145
7256,Raigram,93,52.0,23.3809252,88.1949782
7257,Sainhati,94,52.0,23.4000855,88.179137
7258,Basudebpur,95,52.0,21.8248993,87.62110609999999
7259,Safarda,96,52.0,23.3969395,88.1645092
7260,Mamudpur,97,52.0,-1.0,-1.0
7261,Dheurchanda,98,52.0,-1.0,-1.0
7262,Katsihi,99,52.0,23.37299,88.1523157
7263,Fajalpur,100,52.0,23.3706935,88.1468275
7264,Vheti,101,52.0,-1.0,-1.0
7265,Ripuchawk,102,52.0,-1.0,-1.0
7266,Karanda,103,52.0,-1.0,-1.0
7267,Bhagra,104,52.0,23.3630266,86.4465631
7268,Piplon,105,52.0,23.3550195,88.14255849999999
7269,Bishnupurchak,106,52.0,23.3552201,88.15963219999999
7270,Ishna Buzruk,107,52.0,-1.0,-1.0
7271,Jamna,108,52.0,-1.0,-1.0
7272,Debpur,109,52.0,23.2208574,88.12303750000001
7273,Barandala,110,52.0,23.3571175,88.1949782
7274,Gangania,111,52.0,23.363181,88.20472380000001
7275,Laskarpur,112,52.0,22.3609568,88.18888609999999
7276,Kule,113,52.0,-1.0,-1.0
7277,Purba Mitani,114,52.0,-1.0,-1.0
7278,Shelay,115,52.0,27.0445734,88.2673091
7279,Daluipur,116,52.0,23.3435992,88.1840118
7280,Mangalpur,117,52.0,23.0706329,87.68030279999999
7281,Chak Basupur,118,52.0,23.3377592,88.1937598
7282,Maraipiri,119,52.0,23.3318628,88.198633
7283,Khorda Esna,120,52.0,-1.0,-1.0
7284,Ashuri,121,52.0,23.3212924,88.1852304
7285,Dewani,122,52.0,23.3419843,88.1730427
7286,Banpur,123,52.0,23.4548044,88.7542102
7287,Bamunia,124,52.0,23.1882937,87.9003778
7288,Khandra,125,52.0,23.6419382,87.22824179999999
7289,Kuljora,126,52.0,-1.0,-1.0
7290,Paruliya,127,52.0,23.3320779,86.365208
7291,Sihigram,128,52.0,23.3629521,87.57727589999999
7292,Dhanya Kherur,129,52.0,23.3085865,88.1169354
7293,Sonagachi,130,52.0,22.6908639,87.99520969999999
7294,Temohani,131,52.0,23.2802689,88.1132737
7295,Ganguria,132,52.0,-1.0,-1.0
7296,Majhergram,133,52.0,23.6258897,88.2826103
7297,Khorad,134,52.0,23.2895739,88.144998
7298,Tentuliya,135,52.0,-1.0,-1.0
7299,Purguna,136,52.0,23.2988526,88.1518169
7300,Prasadpur,137,52.0,22.7246926,88.08763359999999
7301,Basatpur,138,52.0,-1.0,-1.0
7302,Bhelia,139,52.0,23.3134981,88.1547547
7303,Murulia,140,52.0,-1.0,-1.0
7304,Piyagram,141,52.0,-1.0,-1.0
7305,Dewangadi,142,52.0,23.3106074,88.1620708
7306,Bhandarbati,143,52.0,-1.0,-1.0
7307,Gabrupur,144,52.0,23.3100262,88.1760899
7340,Kashta Kurumba,123,53.0,23.2913102,88.0424219
7342,Nathpur,125,53.0,23.4560703,88.72654270000001
7359,Sonakur,144,53.0,23.2233075,87.96043449999999
7360,Purba Krishnapur,145,53.0,24.8773879,88.1022869
7374,Jafrabad,159,53.0,-1.0,-1.0
7381,Kendrakhattadihi,1,53.0,-1.0,-1.0
7382,Bilpahari,2,53.0,-1.0,-1.0
7383,Ramnagar,3,53.0,-1.0,-1.0
7384,Dalurbandh,4,53.0,-1.0,-1.0
7385,Baidyanathpur,5,53.0,-1.0,-1.0
7386,Gobindapur,6,53.0,-1.0,-1.0
7387,Konda,7,53.0,23.7146448,87.30534089999999
