id,name,jl_number,block_id,latitude,longitude
36198,Sirjam,117,279.0,23.4022133,86.8182685
36199,Nandardi,118,279.0,-1.0,-1.0
36200,Bharatdi (119),119,279.0,22.4750557,88.3033755
36201,Murlu,120,279.0,23.5244171,86.90731009999999
36202,Palsara,121,279.0,23.4120327,86.7893889
36203,Paharpur,122,279.0,22.5244929,88.2971985
36204,Gayapahari,123,279.0,23.3959091,86.8006916
36205,Nischintapur,124,279.0,21.9902315,88.2152393
36206,Dejori,125,279.0,23.3779651,86.79566849999999
36207,Shyambathan,126,279.0,23.3781186,86.803203
36208,Dhulapahari,127,279.0,23.3842189,86.8107363
36209,Barra,128,279.0,23.7911415,87.1771876
36210,Jinamanipur,129,279.0,23.3955123,86.8546573
36211,Ragamatia,130,279.0,25.1496385,88.0632006
36212,Mushila,131,279.0,-1.0,-1.0
36213,Kadori,132,279.0,23.3712183,86.82956449999999
36214,Chapri,133,279.0,23.3709138,86.81450249999999
36215,Jagannathdi,134,279.0,23.6269117,86.8665719
36216,Lari,135,279.0,23.3529695,86.8094808
36217,Balarampur,136,279.0,23.0943913,86.22029619999999
36218,Jamkiri,137,279.0,23.3466132,86.7893889
36219,Haridi,138,279.0,23.2582068,86.82956449999999
36220,Pabra,139,279.0,23.535714,87.0299433
36221,Raghunathpur,140,279.0,23.5343795,86.6686635
36222,Barbendia,141,279.0,-1.0,-1.0
36223,Kultore,142,279.0,23.3744772,86.7705452
36224,Jibanpur (143),143,279.0,22.058278,87.93583869999999
36225,Kendtanr,144,279.0,23.3741666,86.755465
36226,Kalapathar,145,279.0,22.9023968,86.8897655
36227,Kumardi,146,279.0,23.087267,86.6182736
36228,Bhalukgajar,147,279.0,23.3873135,86.7441518
36229,Sonatholi,148,279.0,23.3826572,86.7526369
36230,Koshjuri,149,279.0,21.8590929,87.9506348
36231,Painja,150,279.0,23.3811577,86.73409339999999
36232,Bodma,151,279.0,23.4050498,86.7391229
36233,Amlabahal,152,279.0,23.4212724,86.73283599999999
36234,Malancha,153,279.0,22.5004512,88.7674361
36235,Lalpur alias Jorthol,154,279.0,23.4046306,86.71900199999999
36236,Akundgora,155,279.0,23.4119323,86.7127125
36237,Dhatla,156,279.0,23.408969,86.8584202
36238,Bharatchak,157,279.0,23.4231216,86.7145994
36239,Duliabar,158,279.0,23.4268513,86.7152284
36240,Rangamati,159,279.0,23.33331,86.1929747
36241,Patpur,160,279.0,23.2314562,87.06117720000002
36242,Amshole,161,279.0,25.269141,88.2156581
36243,Belyadanga,162,279.0,23.4218361,86.6888051
36244,Dalalata,163,279.0,23.4098369,86.6837705
36245,Baykara,164,279.0,23.4120696,86.67141149999999
36246,Shiulibari,165,279.0,23.4049234,86.6623676
36247,Sumaidi,166,279.0,23.3973027,86.65355199999999
36248,Gamarkunri,167,279.0,23.4090881,86.6485137
36249,Dhanera,168,279.0,23.4029262,86.6384357
36250,Ghutlia,169,279.0,23.4026017,86.6233149
36251,Bhuiandi,170,279.0,23.3909254,86.63339599999999
36252,Liya,171,279.0,22.6040136,88.2391943
36253,Majurjura,172,279.0,23.3790324,86.63339599999999
36254,Gopalpur(173),173,279.0,23.113801,86.7491802
36255,Shyampore,174,279.0,22.299502,88.02774869999999
36256,Simla,175,279.0,22.7392188,88.3215014
36257,Damankiari,176,279.0,23.3408622,86.6560709
36258,Kashidi,177,279.0,23.3501565,86.6736997
36259,Sunra,178,279.0,23.3558901,86.6636269
36260,Seja,179,279.0,23.3564223,86.6888051
36261,Lakrapahari,180,279.0,23.3666436,86.6799942
36262,Saharbera,181,279.0,23.3678906,86.6686635
36263,Tara,182,279.0,24.1140439,87.7990799
36264,Mrigipahari,183,279.0,23.3742631,86.6888051
36265,Madhupatra,184,279.0,-1.0,-1.0
36266,Napharmandaldi,185,279.0,23.3965899,86.6900637
36267,Lajhana,186,279.0,22.4319857,87.53154909999999
36268,Kushumgora alias Ranjandi,187,279.0,23.3865797,86.7089384
36269,Tilaboni,188,279.0,23.6519948,87.29291409999999
36270,Bhatin,189,279.0,23.3688443,86.7139704
36271,Jiara,190,279.0,22.7235609,88.1760474
36272,Lakshipur,191,279.0,23.4763304,86.3586026
36273,Chaka,192,279.0,22.9685413,86.9248483
36274,Agardi,193,279.0,23.349332,86.705164
36275,Makhayada,194,279.0,-1.0,-1.0
36276,Shalaya,195,279.0,23.3328453,86.69887279999999
36277,Pokhariathol,196,279.0,23.3146859,86.6837705
36278,Pabrapahari,197,279.0,23.3150033,86.69887279999999
36279,Chitra,198,279.0,23.5290276,86.42632290000002
36280,Mehi,199,279.0,23.3395276,86.73409339999999
36281,Ichamara,200,279.0,23.3215808,86.7290634
36282,Uparra,201,279.0,23.315946,86.7441518
36283,Kharikagora,202,279.0,23.3340999,86.7592355
36284,Ledagora,203,279.0,23.3353015,86.7454089
36285,Isanda,204,279.0,23.3516307,86.7441518
36286,Kaliada,205,279.0,23.3503258,86.7529512
36287,Lara,206,279.0,23.3520457,86.76426239999999
36288,Parasiadi,207,279.0,23.3389991,86.7805961
36289,Kustor,208,279.0,23.3225145,86.7743145
36290,Hadalda,209,279.0,23.3162572,86.7592355
36291,Gopalchak (210),210,279.0,23.3078065,86.7588076
36292,Jambad,211,279.0,23.2134234,86.5722478
36293,Kathgora,212,279.0,23.304774,86.7793398
36294,Bharatpur,1,280.0,23.8837878,88.0839695
36295,Gopalchak,2,280.0,21.7786552,87.8340995
36296,Beliadanga,3,280.0,23.9373131,88.6470477
36297,Naynakuri,4,280.0,23.6766145,86.6485137
36298,Lakshyabad,5,280.0,-1.0,-1.0
36299,Ranipur (006),6,280.0,23.4757449,86.5402436
36300,Jorberya,7,280.0,23.4699403,86.57540159999999
36301,Bhouramahal,8,280.0,-1.0,-1.0
36302,Dhanibari,9,280.0,23.6450017,86.6296158
36303,Anchkoda,10,280.0,-1.0,-1.0
36304,Dumurhir,11,280.0,23.4620457,87.1054941
36305,Hansapathar,12,280.0,23.6337647,86.659849
36306,Balarampur,13,280.0,23.0943913,86.22029619999999
36307,Naragorya,14,280.0,-1.0,-1.0
36308,Bhaldubi,15,280.0,23.6249562,86.66488609999999
36309,Asta,16,280.0,22.3365174,88.13523909999999
36310,Kulbana,17,280.0,23.6312767,86.6825118
36311,Baghraibari,18,280.0,26.3524673,89.2419658
36312,Pathardi,19,280.0,23.2559047,86.2501429
36313,Dhanara,20,280.0,22.7375562,86.9849308
36314,Guniara,21,280.0,23.8330274,87.8414686
36315,Managram,22,280.0,24.3521967,88.11449429999999
36316,Raybandh,23,280.0,23.3012474,86.3452805
36317,Sulanga,24,280.0,23.6532717,86.6686635
36318,Kanchanpur,25,280.0,-1.0,-1.0
36319,Sidpur,26,280.0,22.5338731,87.6747563
36320,Ajodhya,27,280.0,23.2220229,86.1395598
36321,Durgapur,28,280.0,23.5204443,87.3119227
36322,Birbaldi,29,280.0,23.6601784,86.7139704
36323,Gobindapur,30,280.0,22.3781175,88.4052416
36324,Alkusha(31),31,280.0,23.6767164,86.7840384
36325,Shimulia,32,280.0,23.5181248,88.67356269999999
36326,Bakbari,33,280.0,23.6711034,86.6686635
36327,Bhiringi,34,280.0,23.5534393,87.27619260000002
36328,Kalipathar,35,280.0,23.8251281,86.8584202
36329,Malancha,36,280.0,22.5004512,88.7674361
36330,Ghatkul,37,280.0,23.6900044,86.71900199999999
36331,Tantlui,38,280.0,23.6874028,86.73660819999999
36332,Shalchura,39,280.0,23.6740552,86.7378655
36333,Mahishnadi,40,280.0,23.6699606,86.7516553
36334,Kharbana,41,280.0,23.3419578,86.92860560000001
36335,Bhurkundabari,42,280.0,-1.0,-1.0
36336,Bathanbari,43,280.0,23.8112714,86.8345841
36337,Chaklatabari,44,280.0,26.687795,88.75266370000001
36338,Baghmara,45,280.0,23.6447016,86.755465
36339,Shiulibari,46,280.0,23.4049234,86.6623676
36340,Rangadahar,47,280.0,23.6326029,86.7454089
36341,Lakshmanpur,48,280.0,22.6359557,88.2740982
36342,Krishnapur,49,280.0,22.6627899,88.2765304
36343,Dudhiyapani,50,280.0,-1.0,-1.0
36344,Mahuda,51,280.0,23.547906,86.538805
36345,Belakhajura,52,280.0,-1.0,-1.0
36346,Rampur,53,280.0,25.3470758,88.632578
36347,Jhaburdi,54,280.0,23.6196417,86.7296922
36348,Pahargora,55,280.0,23.6175837,86.7378655
36349,Kachbel,56,280.0,23.6072068,86.7391229
36350,Ankduyara,57,280.0,-1.0,-1.0
36351,Gobagh,58,280.0,23.5971962,86.75797870000001
36352,Haridi,59,280.0,23.2582068,86.82956449999999
36353,Maharajnagar,60,280.0,23.5774821,86.7391229
36354,Janardandi,61,280.0,23.5861928,86.7648907
36355,Hetyabahal,62,280.0,23.5914598,86.7680322
36356,Raghudi,63,280.0,23.4348302,86.4667951
36357,Garhpanchakote,64,280.0,23.6166997,86.7667756
36358,Parbatpur,65,280.0,23.0620818,88.0399767
36359,Paharbera,66,280.0,23.587492,86.93987589999999
36360,Nutandi,67,280.0,23.3468776,85.962385
36361,Digha,68,280.0,21.6266172,87.5074315
36362,Heddi,69,280.0,23.6440412,86.8008921
36363,Fatedanga,70,280.0,23.6483344,86.8054003
36364,Nabagram,71,280.0,23.111247,88.04364439999999
36365,Manpura,72,280.0,23.6543989,86.79315679999999
36366,Paichhara,73,280.0,22.408334,88.4488677
36367,Tirtore,74,280.0,22.515839,88.36533399999999
36368,Paharpur,75,280.0,22.5244929,88.2971985
