id,name,jl_number,block_id,latitude,longitude
5053,Kabirpur,204,25.0,-1.0,-1.0
5054,Mahespur,205,25.0,-1.0,-1.0
5055,Amudpur,206,25.0,-1.0,-1.0
5056,Sasinara,207,25.0,-1.0,-1.0
5057,Kalsi,208,25.0,25.3655301,88.27288209999999
5058,Nudipur,209,25.0,-1.0,-1.0
5059,Simla,210,25.0,-1.0,-1.0
5060,Sonara,211,25.0,23.1373067,88.1059495
5061,Ilamdanga,212,25.0,23.1284052,88.108391
5062,Sura,213,25.0,23.0272191,87.9898205
5063,Durgapur,214,25.0,-1.0,-1.0
5064,Chot Khanda,215,25.0,-1.0,-1.0
5065,Alipur,216,25.0,-1.0,-1.0
5066,Shyamnagar,217,25.0,-1.0,-1.0
5067,Maglampur,218,25.0,23.1185464,88.1559741
5068,Katapur,219,25.0,23.1183183,88.1364591
5069,Benapur,220,25.0,22.2916118,87.3637025
5070,Birsimul,221,25.0,23.1110329,88.1498766
5071,Krishnajibanpur,222,25.0,23.1005706,88.14621770000001
5072,Malamba,1,26.0,23.3615626,88.0680883
5073,Bhagabanpur,2,26.0,-1.0,-1.0
5074,Bamuna,3,26.0,23.1882937,87.9003778
5075,Sargachi,4,26.0,-1.0,-1.0
5076,Haladharpur,5,26.0,23.3273546,88.0693101
5077,Unte,6,26.0,23.3198396,88.0632006
5078,Mandalgram,7,26.0,-1.0,-1.0
5079,Bara Polasan,8,26.0,-1.0,-1.0
5080,Dihi Palashan,9,26.0,-1.0,-1.0
5081,Kantabari,10,26.0,25.5001173,88.53356939999999
5082,Gorapur,11,26.0,22.422716,88.11815589999999
5083,Bijur,12,26.0,-1.0,-1.0
5084,Kalyanpur,13,26.0,22.5006615,87.91509309999999
5085,Barari,14,26.0,-1.0,-1.0
5086,Kantipur,15,26.0,23.2776464,88.0809159
5087,Bangram,16,26.0,23.246712,86.8126195
5088,Bhundul,17,26.0,-1.0,-1.0
5089,Reancha,18,26.0,22.4965893,88.35813440000001
5090,Melna,19,26.0,23.2667547,88.0628074
5091,Kaleswar,20,26.0,23.9572153,87.8469946
5092,Barkona,21,26.0,23.4568292,87.0058794
5094,Gangua,24,26.0,25.5469621,88.21812039999999
5098,Ausa,28,26.0,-1.0,-1.0
5102,Basatpur,32,26.0,-1.0,-1.0
5103,Kuchut,33,26.0,-1.0,-1.0
5104,Mashagaria,34,26.0,23.2243594,88.04364439999999
5105,Paikara,35,26.0,-1.0,-1.0
5108,Khangram,38,26.0,24.0266978,87.9849242
5110,Bhaita,40,26.0,-1.0,-1.0
5111,Baje  Rasulpur,59,26.0,23.2111312,88.05709019999999
5112,Baragram,60,26.0,23.2438149,86.6371758
5113,Naohati,61,26.0,22.8928724,88.42203239999999
5114,Paschim  Srirampur,62,26.0,23.102838,87.5457663
5115,Akalia,63,26.0,23.2298614,88.0674773
5116,Chandipur,64,26.0,-1.0,-1.0
5117,Kabastikri,65,26.0,-1.0,-1.0
5118,Jabui,66,26.0,23.2576085,88.0851909
5119,Gaggeswar,67,26.0,-1.0,-1.0
5120,Dhunai,68,26.0,23.2503887,88.1035078
5121,Belui,69,26.0,23.2467487,88.1102221
5122,Asapur,70,26.0,25.4210418,88.09129740000002
5123,Ghoshpur,71,26.0,22.7296891,87.7812524
5124,Biskopa,72,26.0,23.488248,87.3686661
5125,Beguniya,73,26.0,-1.0,-1.0
5126,Dakhalpur,74,26.0,23.2624111,88.1132737
5127,Bilbari,75,26.0,24.1677665,88.21812039999999
5128,Naopara,76,26.0,22.8128009,88.38098579999999
5129,Nanna,77,26.0,22.7803584,86.59558129999999
5130,Jhikra,78,26.0,22.8912488,88.6506644
5131,Bamunpukur,79,26.0,23.2777261,88.1498766
5132,Ahira,80,26.0,23.2792856,88.1559741
5133,Satgachia,81,26.0,23.2613705,88.1510962
5134,Ranihati,82,26.0,22.5705509,88.1510962
5135,Farakpur,83,26.0,-1.0,-1.0
5136,Bishnupur,84,26.0,23.0678795,87.3165222
5137,Mahishdanga,85,26.0,22.9061227,88.1961965
5138,Mahishpur,86,26.0,22.2816125,88.3633918
5139,Rukashpur,87,26.0,-1.0,-1.0
5140,Sikarpur,88,26.0,-1.0,-1.0
5141,Bitra,89,26.0,23.3096664,88.2095958
5142,Sahajadpur,90,26.0,24.0085658,88.47671679999999
5143,Siddariya,91,26.0,-1.0,-1.0
5144,Makra,92,26.0,-1.0,-1.0
5145,Bohar,93,26.0,-1.0,-1.0
5146,Masra,94,26.0,24.1291551,87.66551079999999
5147,Chak Balaram,95,26.0,-1.0,-1.0
5148,Baneswarpur,96,26.0,23.2039055,88.83710339999999
5149,Senpur,97,26.0,23.6637697,88.3470047
5150,Mutra,98,26.0,23.2395408,88.1937598
5151,Barwa,99,26.0,23.2438517,88.1803557
5152,Jakra,100,26.0,23.2617666,88.1852304
5153,Raybati,101,26.0,23.055458,87.8721602
5154,Goaldinghi,102,26.0,23.2541426,88.16938569999999
5155,Harkala,103,26.0,23.2436825,88.16572839999999
5156,Sridharpur,104,26.0,23.3103669,87.6913936
5157,Kanthalia,105,26.0,23.8863773,88.6036238
5158,Chak  Narayanpur,106,26.0,23.7402331,87.645164
5159,Rokanpur,117,26.0,23.2326472,88.1132737
5160,Gandhapur,119,26.0,23.2207121,88.1108325
5161,Kanpur,120,26.0,-1.0,-1.0
5162,Ganti,121,26.0,-1.0,-1.0
