id,name,jl_number,block_id,latitude,longitude
44722,Beharichak,92,358.0,22.497977,87.7160302
44723,Balakraut,93,358.0,22.5135871,87.71418290000001
44724,Bajrur Baikunthapur,94,358.0,22.5135174,87.7092564
44725,Paikhanlakshmi,95,358.0,22.5187207,87.7086406
44726,Nandanpur,96,358.0,22.647108,87.8402405
44727,Mirjjapur,97,358.0,24.232936,87.96410879999999
44728,Tatarkhan,98,358.0,22.5338206,87.7234185
44729,Kismatkalera,99,358.0,22.5397771,87.7234185
44730,Maheshpur,100,358.0,22.2816125,88.3633918
44731,Sekendari,101,358.0,22.5366599,87.71356709999999
44732,Jaykrishnapur,102,358.0,24.6366877,87.9592096
44733,Balitora,103,358.0,23.6270105,86.8557873
44734,Sarberya,104,358.0,22.2675081,88.4446282
44735,Shaulan,105,358.0,22.5394636,87.7012498
44736,Ratnapur,106,358.0,23.4107541,87.8463807
44737,Gangaprasad,107,358.0,24.1144226,88.436148
44738,Kadirpur Fakirbazar,108,358.0,22.5574027,87.70617709999999
44739,Salampur,109,358.0,25.7945606,87.92490049999999
44740,Radhanagar,110,358.0,22.7263702,87.8660235
44741,Brahman Basan,111,358.0,22.5542844,87.696322
44742,Tatarpur,112,358.0,22.7960264,87.6309776
44743,Machhgerya,113,358.0,22.5519541,87.68954529999999
44744,Jotmari,114,358.0,22.5563331,87.6833838
44745,Jotbani,115,358.0,22.5570158,87.67907029999999
44746,Nabin Basudebpur,116,358.0,22.5630428,87.684
44747,Shrirampur,117,358.0,22.748331,88.3385053
44748,Damodarpur,118,358.0,22.7796573,87.7344988
44749,Gobindapur,119,358.0,22.3781175,88.4052416
44750,Janarddanpur,120,358.0,24.0916513,88.46218909999999
44751,Poshtanka,121,358.0,22.5536101,87.64948079999999
44752,Kirttibaspur,122,358.0,22.5470078,87.6562634
44753,Uttar Dhankhal,123,358.0,22.5449258,87.66674359999999
44754,Dakshin Dhankhal,124,358.0,22.5388626,87.6593461
44755,Makarampur,125,358.0,22.539005,87.6692092
44756,Abhirampur,126,358.0,23.4300024,87.6334451
44757,Brindabanpur,127,358.0,22.108309,87.8672509
44758,Debkul,128,358.0,22.5452444,87.68892919999999
44759,Jagannath Bati,129,358.0,23.2571817,87.08490119999999
44760,Bar Kashimpur,130,358.0,22.5392175,87.684
44761,Saidpur,131,358.0,22.8426204,87.9316419
44762,Gadaipur,132,358.0,24.484868,88.038754
44763,Krishnanagar,133,358.0,23.4008744,88.5013962
44764,Anantapur,134,358.0,24.1233506,88.10717029999999
44765,Nabin Maheshpur,135,358.0,22.5190705,87.680919
44766,Manikpur,136,358.0,22.4692758,88.0253027
44767,Patla,137,358.0,22.5251327,87.6883131
