name,lat,lon
Rangametya,,
Dhatla,,
Dubra,,
Kaminbedya,,
Sihika,,
Moiragorya,,
Tulsa,,
Sihikapahari,,
Hatjor,,
Tilna,,
Simulberya,,
Ethani,,
Saluni,,
Besara,,
Enari,,
Karrashol,,
Gopalpur,,
Haridihi,,
Kalipur,,
Jhunjka,,
Parulia,,
Hausibad,,
Majhidi,,
Kendua,,
Tentulberia,,
Penchashimul,,
Jiadoba,,
Banjuria,,
Mechabaid,,
Shirpura,,
Jirrakelai,,
Hetyashol,,
Jaynagar,,
Shushuniyajamthole,,
Dumurkundi,,
Metela,,
Fapsa,,
Kulyara,,
Bagdiha,,
Ramnathpur,,
Hapania,,
Shiulibona,,
Shushuniapahar,,
Gohalpara,,
Paharghata,,
Namo Shushunia,,
Shushunia,,
Chhatatala,,
Bishkodar,,
Shushuniya Parashibna,,
Paharbedya,,
Nangla,,
Bharatpur,,
Gidhuriya,,
Jaljaliabanshole,,
Agaya,,
Chamkara,,
Basulibandh,,
Karra,,
Beliara,,
Haribandi,,
Mirga,,
Shiuligarya,,
Sarberia,,
Pathardiha,,
Mujrakundi,,
Jamdahari,,
Barbakra,,
Khayerkanali,,
Lakshminarayanpur,,
Kantashol,,
Kamarkuli,,
Kuludihi,,
Gurputa,,
Kalaiberia,,
Banagram,,
Pinasgaria,,
Ghoramuli,,
Dubrajpur,,
Bamunkuli,,
Mandashpara,,
Chaughara,,
Panchpukhuria,,
Janardanpur,,
Jhagrapur,,
Bhalaidiha,,
Brajamohanpur,,
Dhengakenda,,
Gharmora,,
Musibdihi,,
Lohagar,,
Benagoria,,
Kalpathar,,
Ghosergram,,
Kharbona(137),,
Hansapahari,,
Dalpur,,
Dumdumi,,
Shuarbakra,,
Balarampur,,
Shiulipahari,,
Sukhnibasa,,
Bindna,,
Jhantipahari,,
Ranagora,,
Palsara,,
Bikpur,,
Kanki,,
Malpara,,
Rajadal,,
Bangaon,,
Murgaboni,,
Arrah,,
Bandagal,,
Bindajam,,
Bara Banagram,,
Kshudra Banagram,,
Goaldanga,,
Amdiha,,
Gursagra,,
Narsinghapur,,
Guniada,,
Malbedya,,
Harakbedya,,
Kelai,,
Parashibona,,
Jamdoba,,
Mangalda,,
Barshi,,
Dumna,,
Tilajuri,,
Kathariya,,
Singergara,,
Karkari,,
Chhopaniya,,
Satkhulia,,
Anturibona,,
Jamtara,,
Bankati,,
Aljhara,,
Dhengagora,,
Nanduara,,
Baghmara,,
Dhagara,,
Meghakata,,
Bijpur,,
Shiulibona,,
Amakunda,,
Garbona,,
Chholagara,,
Sarsa,,
Aluthia,,
Palla,,
Bahara,,
Patjuri Agaya,,
Bakshimul,,
Kunkuribasa,,
Rangametia,,
Kamalpur,,
Chinabari,,
Baksibandh,,
Maheshkhapuri,,
Chaintor,,
Maheshana,,
Bhuinyapara,,
Budhanpur,,
Saontalpara,,
Panjangara,,
Chaka,,
Khayerbani,,
Antkuriya,,
Upardihi,,
Amlator,,
Khobradihi,,
Mantumra,,
Shalchura,,
Simla,,
Nekrakunda,,
Chhatapathar,,
Baliguma,,
Madhabpur,,
Pithabaid,,
Shaldiha,,
Bhandarber,,
Hanuliya,,
Lakshmishol,,
Chak Tamakgonya,,
Kshirpai,,
Kshiroshol,,
Jatyardihi,,
Shuribediya,,
Rampur,,
Banagram,,
Bandardihi,,
Hetyatora,,
Masthol,,
Keshra,,
Mahishdanga,,
Subarda,,
Rahir,,
Kapasbediya,,
Haridi,,
Metyala,,
Fulkusum,,
Bahidya,,
Painsabad,,
Noyada,,
Nabagram,,
Karkari,,
Jambede,,
Deulbhira,,
Garrah,,
Kantapahari,,
Jambani,,
Kharbona(257),,
Buripara,,
Jibanpur Bankati,,
Daldali,,
Teghori,,
Bagjuri,,
Jagannathpur,,
Pathanberya,,
Saparda,,
Tisara,,
Kelaibad,,
Gobindapur,,
Bhimpur,,
Tetuibad,,
Danmari,,
Gholgorya,,
Kendsayer,,
Nishchintapur,,
Lari,,
Banpusra,,
Lakshmanpur,,
Radhanagar,,
Khara,,
Kharakpur,,
Shurichitra,,
