id,name,jl_number,block_id
5053,Kabirpur,204,25.0
5054,Mahespur,205,25.0
5055,Amudpur,206,25.0
5056,Sasinara,207,25.0
5057,Kalsi,208,25.0
5058,Nudipur,209,25.0
5059,Simla,210,25.0
5060,Sonara,211,25.0
5061,Ilamdanga,212,25.0
5062,Sura,213,25.0
5063,Durgapur,214,25.0
5064,Chot Khanda,215,25.0
5065,Alipur,216,25.0
5066,Shyamnagar,217,25.0
5067,Maglampur,218,25.0
5068,Katapur,219,25.0
5069,Benapur,220,25.0
5070,Birsimul,221,25.0
5071,Krishnajibanpur,222,25.0
5072,Malamba,001,26.0
5073,Bhagabanpur,002,26.0
5074,Bamuna,003,26.0
5075,Sargachi,004,26.0
5076,Haladharpur,005,26.0
5077,Unte,006,26.0
5078,Mandalgram,007,26.0
5079,Bara Polasan,008,26.0
5080,Dihi Palashan,009,26.0
5081,Kantabari,010,26.0
5082,Gorapur,011,26.0
5083,Bijur,012,26.0
5084,Kalyanpur,013,26.0
5085,Barari,014,26.0
5086,Kantipur,015,26.0
5087,Bangram,016,26.0
5088,Bhundul,017,26.0
5089,Reancha,018,26.0
5090,Melna,019,26.0
5091,Kaleswar,020,26.0
5092,Barkona,021,26.0
5094,Gangua,024,26.0
5098,Ausa,028,26.0
5102,Basatpur,032,26.0
5103,Kuchut,033,26.0
5104,Mashagaria,034,26.0
5105,Paikara,035,26.0
5108,Khangram,038,26.0
5110,Bhaita,040,26.0
5111,Baje  Rasulpur,059,26.0
5112,Baragram,060,26.0
5113,Naohati,061,26.0
5114,Paschim  Srirampur,062,26.0
5115,Akalia,063,26.0
5116,Chandipur,064,26.0
5117,Kabastikri,065,26.0
5118,Jabui,066,26.0
5119,Gaggeswar,067,26.0
5120,Dhunai,068,26.0
5121,Belui,069,26.0
5122,Asapur,070,26.0
5123,Ghoshpur,071,26.0
5124,Biskopa,072,26.0
5125,Beguniya,073,26.0
5126,Dakhalpur,074,26.0
5127,Bilbari,075,26.0
5128,Naopara,076,26.0
5129,Nanna,077,26.0
5130,Jhikra,078,26.0
5131,Bamunpukur,079,26.0
5132,Ahira,080,26.0
5133,Satgachia,081,26.0
5134,Ranihati,082,26.0
5135,Farakpur,083,26.0
5136,Bishnupur,084,26.0
5137,Mahishdanga,085,26.0
5138,Mahishpur,086,26.0
5139,Rukashpur,087,26.0
5140,Sikarpur,088,26.0
5141,Bitra,089,26.0
5142,Sahajadpur,090,26.0
5143,Siddariya,091,26.0
5144,Makra,092,26.0
5145,Bohar,093,26.0
5146,Masra,094,26.0
5147,Chak Balaram,095,26.0
5148,Baneswarpur,096,26.0
5149,Senpur,097,26.0
5150,Mutra,098,26.0
5151,Barwa,099,26.0
5152,Jakra,100,26.0
5153,Raybati,101,26.0
5154,Goaldinghi,102,26.0
5155,Harkala,103,26.0
5156,Sridharpur,104,26.0
5157,Kanthalia,105,26.0
5158,Chak  Narayanpur,106,26.0
5159,Rokanpur,117,26.0
5160,Gandhapur,119,26.0
5161,Kanpur,120,26.0
5162,Ganti,121,26.0
5163,Parhati,122,26.0
5164,Madhupur,123,26.0
5165,Tajpur,124,26.0
5166,Kasipur,125,26.0
5167,Nandiyara,178,26.0
5168,Tantibaksa,179,26.0
5169,Sarra,180,26.0
5170,Khayerpur,181,26.0
5171,Taralpur,182,26.0
5172,Bansipur,183,26.0
5173,Barasat,184,26.0
5174,Kalibele,196,26.0
5175,Shambhupur,001,27.0
5176,Chakshanjadi,002,27.0
5177,Jamdaha,003,27.0
5178,Haibatpur,004,27.0
5179,Chalbalpur,005,27.0
5180,Kanakpur,006,27.0
5181,Sadipur,007,27.0
5182,Krishnapur,008,27.0
5183,Dadpur,009,27.0
5184,Habaspur,010,27.0
5185,Chouberia,011,27.0
5186,Ballabhbati,012,27.0
5187,Mashagram,013,27.0
5188,Bishambharpur,014,27.0
5189,Ruppur,015,27.0
5190,Nabagram,016,27.0
5191,Basistapur,017,27.0
5192,Keliri,018,27.0
5193,Sanchra,019,27.0
5194,Ajhapur,020,27.0
5195,Purba Sadhipur,021,27.0
5196,Salmula,022,27.0
5197,Dattapur,023,27.0
5198,Dhuluk,024,27.0
5199,Faimpur,025,27.0
5200,Parbatpur,026,27.0
5201,Ruda,027,27.0
5202,Hiranyagram,028,27.0
5203,Krishna Chandrapur,029,27.0
5204,Selimabad,030,27.0
5205,Sarangpur,031,27.0
5206,Berugram,032,27.0
5207,Balarampur,033,27.0
5208,Kalera,034,27.0
5209,Rajarampur,035,27.0
5210,Sreekrishnapur,036,27.0
5211,Jyotsriram,037,27.0
5212,Jyotdakshin,038,27.0
5213,Sah Hossainpur,039,27.0
5214,Hargobindapur,040,27.0
5215,Kubajpur,041,27.0
5216,Sura,042,27.0
5217,Kalna,043,27.0
5218,Kanshra,044,27.0
5219,Khanpur,045,27.0
5220,Jyot Raghab,046,27.0
5221,Radhaballabbati,047,27.0
5222,Jyot Kristai,048,27.0
5223,Uttar Mohanpur,049,27.0
5224,Halara,050,27.0
5225,Betragarh,051,27.0
5226,Sajipur,052,27.0
5227,Harekrishnapur,053,27.0
5228,Basantapur,054,27.0
5229,Paratal,055,27.0
5230,Gopikantapur,056,27.0
5231,Jyot Subal,057,27.0
5232,Ramchandrapur,058,27.0
5233,Chakdighi,059,27.0
5234,Sukpur,060,27.0
5235,Jargram,061,27.0
5236,Satgharia,062,27.0
5237,Baratikra,063,27.0
5238,Dhapdhara,064,27.0
5239,Sonar Garia,065,27.0
5240,Paikpara,066,27.0
5241,Muidipur,067,27.0
5242,Nandanpur,068,27.0
5243,Ujirpur,069,27.0
5244,Reshalatpur,070,27.0
5245,Kora,071,27.0
5246,Shiali,072,27.0
5247,Amarpur,073,27.0
5248,Dakshin Mohanpur,074,27.0
5249,Daspur,075,27.0
5250,Antpara,076,27.0
5251,Ramkrishnapur,077,27.0
5252,Mirjapur,078,27.0
5253,Pranballavpur,079,27.0
5254,Madhabpur,080,27.0
5255,Dumo,081,27.0
5256,Bidyabatipur,082,27.0
5257,Gureghar,083,27.0
5258,Tilkuria,084,27.0
