0,1,2,3,4,5,6,7,8
74,117,,,5,9,16,2016-03-21 05:30:15.876837,2016-03-21 05:30:15.876837
75,63,,,5,9,16,2016-03-21 05:30:21.356559,2016-03-21 05:30:21.356559
76,212,,,5,9,16,2016-03-21 05:30:27.607712,2016-03-21 05:30:27.607712
77,117,,,5,8,12,2016-03-21 05:30:43.368751,2016-03-21 05:30:43.368751
78,63,,,5,8,12,2016-03-21 05:30:51.994599,2016-03-21 05:30:51.994599
79,212,,,5,8,12,2016-03-21 05:31:06.648542,2016-03-21 05:31:06.648542
80,117,,,5,7,8,2016-03-21 05:31:41.709532,2016-03-21 05:31:41.709532
81,63,,,5,7,8,2016-03-21 05:31:47.058267,2016-03-21 05:31:47.058267
82,212,,,5,7,8,2016-03-21 05:31:53.532440,2016-03-21 05:31:53.532440
83,117,,,6,9,16,2016-03-21 05:32:17.025050,2016-03-21 05:32:17.025050
84,63,,,6,9,16,2016-03-21 05:32:33.639352,2016-03-21 05:32:33.639352
85,212,,,6,9,16,2016-03-21 05:32:39.612637,2016-03-21 05:32:39.612637
86,117,,,6,8,12,2016-03-21 05:33:11.476531,2016-03-21 05:33:11.476531
87,63,,,6,8,12,2016-03-21 05:33:17.879671,2016-03-21 05:33:17.879671
88,212,,,6,8,12,2016-03-21 05:33:22.362530,2016-03-21 05:33:22.362530
89,117,,,6,7,8,2016-03-21 05:33:37.535163,2016-03-21 05:33:37.535163
90,63,,,6,7,8,2016-03-21 05:33:43.058262,2016-03-21 05:33:43.058262
91,212,,,6,7,8,2016-03-21 05:33:48.866555,2016-03-21 05:33:48.866555
92,151,,,4,9,48,2016-03-21 05:36:57.613776,2016-03-21 05:36:57.613776
93,97,,,4,9,48,2016-03-21 05:37:04.279993,2016-03-21 05:37:04.279993
94,169,,,4,9,48,2016-03-21 05:37:10.218136,2016-03-21 05:37:10.218136
95,151,,,4,8,48,2016-03-21 05:38:15.414197,2016-03-21 05:38:15.414197
96,97,,,4,8,48,2016-03-21 05:38:25.878949,2016-03-21 05:38:25.878949
98,169,,,4,8,48,2016-03-21 05:39:21.705224,2016-03-21 05:39:21.705224
99,151,,,4,7,48,2016-03-21 05:39:42.898294,2016-03-21 05:39:42.898294
100,97,,,4,7,48,2016-03-21 05:39:51.044471,2016-03-21 05:39:51.044471
101,169,,,4,7,48,2016-03-21 05:40:02.826279,2016-03-21 05:40:02.826279
102,151,,,5,9,24,2016-03-21 05:40:24.072805,2016-03-21 05:40:24.072805
103,97,,,5,9,24,2016-03-21 05:40:32.363370,2016-03-21 05:40:32.363370
104,169,,,5,9,24,2016-03-21 05:40:40.831684,2016-03-21 05:40:40.831684
105,151,,,5,8,24,2016-03-21 05:40:49.354845,2016-03-21 05:40:49.354845
106,97,,,5,8,24,2016-03-21 05:41:21.111670,2016-03-21 05:41:21.111670
107,169,,,5,8,24,2016-03-21 05:41:26.915694,2016-03-21 05:41:26.915694
108,151,,,5,7,24,2016-03-21 05:41:34.711256,2016-03-21 05:41:34.711256
109,97,,,5,7,24,2016-03-21 05:41:41.174061,2016-03-21 05:41:41.174061
110,169,,,5,7,24,2016-03-21 05:41:47.636067,2016-03-21 05:41:47.636067
111,151,,,6,9,24,2016-03-21 05:42:09.378950,2016-03-21 05:42:09.378950
112,97,,,6,9,24,2016-03-21 05:42:17.865142,2016-03-21 05:42:17.865142
113,169,,,6,9,24,2016-03-21 05:42:31.942514,2016-03-21 05:42:31.942514
114,151,,,6,8,24,2016-03-21 05:42:38.463149,2016-03-21 05:42:38.463149
115,97,,,6,8,24,2016-03-21 05:42:43.456935,2016-03-21 05:42:43.456935
116,169,,,6,8,24,2016-03-21 05:42:47.907111,2016-03-21 05:42:47.907111
117,169,,,6,7,24,2016-03-21 05:42:53.913299,2016-03-21 05:42:53.913299
118,151,,,6,7,24,2016-03-21 05:43:00.440517,2016-03-21 05:43:00.440517
119,97,,,6,7,24,2016-03-21 06:03:51.842507,2016-03-21 06:03:51.842507
120,157,,,4,9,80,2016-03-21 06:05:45.049867,2016-03-21 06:05:45.049867
121,157,,,4,8,80,2016-03-21 06:05:52.525514,2016-03-21 06:05:52.525514
122,157,,,4,7,80,2016-03-21 06:05:57.173244,2016-03-21 06:05:57.173244
123,157,,,5,9,60,2016-03-21 06:06:16.488795,2016-03-21 06:06:16.488795
124,157,,,5,8,60,2016-03-21 06:06:21.284829,2016-03-21 06:06:21.284829
125,157,,,5,7,60,2016-03-21 06:06:27.998964,2016-03-21 06:06:27.998964
126,157,,,6,9,60,2016-03-21 06:06:40.826549,2016-03-21 06:06:40.826549
127,157,,,6,8,60,2016-03-21 06:06:45.347024,2016-03-21 06:06:45.347024
128,157,,,6,7,60,2016-03-21 06:06:49.670217,2016-03-21 06:06:49.670217
129,102,,,4,9,80,2016-03-21 06:07:17.008981,2016-03-21 06:07:17.008981
130,102,,,4,8,80,2016-03-21 06:07:29.727224,2016-03-21 06:07:29.727224
131,102,,,4,7,80,2016-03-21 06:07:34.276977,2016-03-21 06:07:34.276977
132,102,,,5,9,60,2016-03-21 06:07:47.973410,2016-03-21 06:07:47.973410
133,102,,,5,8,60,2016-03-21 06:07:52.490740,2016-03-21 06:07:52.490740
134,102,,,5,7,60,2016-03-21 06:07:57.063482,2016-03-21 06:07:57.063482
135,102,,,6,9,60,2016-03-21 06:08:03.887067,2016-03-21 06:08:03.887067
136,102,,,6,8,60,2016-03-21 06:08:08.580023,2016-03-21 06:08:08.580023
137,102,,,6,7,60,2016-03-21 06:08:14.744524,2016-03-21 06:08:14.744524
138,167,,,4,9,80,2016-03-21 06:08:31.197226,2016-03-21 06:08:31.197226
139,167,,,4,8,80,2016-03-21 06:08:36.270031,2016-03-21 06:08:36.270031
140,167,,,4,7,80,2016-03-21 06:08:40.402439,2016-03-21 06:08:40.402439
141,167,,,5,9,60,2016-03-21 06:08:51.678288,2016-03-21 06:08:51.678288
142,167,,,5,8,60,2016-03-21 06:08:55.622227,2016-03-21 06:08:55.622227
143,167,,,5,7,60,2016-03-21 06:08:59.592175,2016-03-21 06:08:59.592175
144,167,,,6,9,60,2016-03-21 06:09:08.334577,2016-03-21 06:09:08.334577
145,167,,,6,8,60,2016-03-21 06:09:12.771088,2016-03-21 06:09:12.771088
146,167,,,6,7,60,2016-03-21 06:09:17.004707,2016-03-21 06:09:17.004707
147,130,,,4,9,80,2016-03-21 06:10:43.646105,2016-03-21 06:10:43.646105
148,130,,,4,8,80,2016-03-21 06:10:52.666474,2016-03-21 06:10:52.666474
149,130,,,4,7,80,2016-03-21 06:10:57.059156,2016-03-21 06:10:57.059156
150,130,,,5,9,40,2016-03-21 06:11:26.959092,2016-03-21 06:11:26.959092
151,130,,,5,8,40,2016-03-21 06:11:31.713457,2016-03-21 06:11:31.713457
152,130,,,5,7,40,2016-03-21 06:11:36.356757,2016-03-21 06:11:36.356757
153,130,,,6,9,40,2016-03-21 06:12:45.164117,2016-03-21 06:12:45.164117
154,130,,,6,8,40,2016-03-21 06:13:39.273937,2016-03-21 06:13:39.273937
155,130,,,6,7,40,2016-03-21 06:13:43.469408,2016-03-21 06:13:43.469408
156,74,,,4,9,80,2016-03-21 06:14:32.248093,2016-03-21 06:14:32.248093
157,74,,,4,8,80,2016-03-21 06:14:49.557223,2016-03-21 06:14:49.557223
158,74,,,4,7,80,2016-03-21 06:14:53.091883,2016-03-21 06:14:53.091883
159,74,,,5,9,40,2016-03-21 06:15:08.919399,2016-03-21 06:15:08.919399
160,74,,,5,8,40,2016-03-21 06:15:13.205191,2016-03-21 06:15:13.205191
161,74,,,5,7,40,2016-03-21 06:15:17.395303,2016-03-21 06:15:17.395303
162,74,,,6,9,40,2016-03-21 06:15:23.254268,2016-03-21 06:15:23.254268
163,74,,,6,8,40,2016-03-21 06:15:26.662638,2016-03-21 06:15:26.662638
164,74,,,6,7,40,2016-03-21 06:15:30.622519,2016-03-21 06:15:30.622519
165,170,,,4,9,80,2016-03-21 06:15:47.811044,2016-03-21 06:15:47.811044
166,170,,,4,8,80,2016-03-21 06:15:51.826074,2016-03-21 06:15:51.826074
167,170,,,4,7,80,2016-03-21 06:15:55.201892,2016-03-21 06:15:55.201892
168,170,,,5,9,40,2016-03-21 06:16:03.710114,2016-03-21 06:16:03.710114
169,170,,,5,8,40,2016-03-21 06:16:07.782835,2016-03-21 06:16:07.782835
170,170,,,5,7,40,2016-03-21 06:16:11.385155,2016-03-21 06:16:11.385155
171,170,,,6,9,40,2016-03-21 06:16:17.496431,2016-03-21 06:16:17.496431
172,170,,,6,8,40,2016-03-21 06:16:20.940107,2016-03-21 06:16:20.940107
173,170,,,6,7,40,2016-03-21 06:16:24.391943,2016-03-21 06:16:24.391943
174,221,,,4,9,20,2016-03-21 06:42:09.638819,2016-03-21 06:42:09.638819
175,221,,,4,8,16,2016-03-21 06:42:19.901819,2016-03-21 06:42:19.901819
176,221,,,4,7,12,2016-03-21 06:42:31.609935,2016-03-21 06:42:31.609935
177,221,,,5,9,10,2016-03-21 06:42:44.101964,2016-03-21 06:42:44.101964
178,221,,,5,8,8,2016-03-21 06:42:54.395141,2016-03-21 06:42:54.395141
179,221,,,5,7,8,2016-03-21 06:43:03.456532,2016-03-21 06:43:03.456532
180,221,,,6,9,20,2016-03-21 06:43:17.393012,2016-03-21 06:43:17.393012
181,221,,,6,8,16,2016-03-21 06:43:47.477927,2016-03-21 06:43:47.477927
182,221,,,6,7,12,2016-03-21 06:43:58.769306,2016-03-21 06:43:58.769306
184,162,,,4,9,40,2016-04-06 06:39:04.576620,2016-04-06 06:39:04.576620
185,162,,,4,8,32,2016-04-06 06:47:02.611384,2016-04-06 06:47:02.611384
186,162,,,4,7,24,2016-04-06 06:47:21.227831,2016-04-06 06:47:21.227831
187,162,,,5,9,40,2016-04-06 06:47:42.120469,2016-04-06 06:47:42.120469
188,162,,,5,8,40,2016-04-06 06:47:52.169843,2016-04-06 06:47:52.169843
189,162,,,5,7,32,2016-04-06 06:48:08.052713,2016-04-06 06:48:08.052713
190,162,,,6,9,40,2016-04-06 06:50:03.783575,2016-04-06 06:50:03.783575
191,162,,,6,8,40,2016-04-06 06:50:12.168084,2016-04-06 06:50:12.168084
192,162,,,6,7,32,2016-04-06 06:50:23.868925,2016-04-06 06:50:23.868925
193,108,,,4,9,40,2016-04-06 06:50:51.399747,2016-04-06 06:50:51.399747
194,108,,,4,8,32,2016-04-06 06:51:05.454936,2016-04-06 06:51:05.454936
195,108,,,4,7,24,2016-04-06 06:51:23.078117,2016-04-06 06:51:23.078117
196,108,,,5,9,40,2016-04-06 07:37:05.235892,2016-04-06 07:37:05.235892
197,108,,,5,8,40,2016-04-06 07:37:16.930525,2016-04-06 07:37:16.930525
198,108,,,5,7,32,2016-04-06 07:37:26.977815,2016-04-06 07:37:26.977815
199,108,,,6,9,40,2016-04-06 07:37:41.219160,2016-04-06 07:37:41.219160
200,108,,,6,8,40,2016-04-06 07:37:52.897812,2016-04-06 07:37:52.897812
201,108,,,6,7,32,2016-04-06 07:38:03.938091,2016-04-06 07:38:03.938091
202,216,,,4,9,40,2016-04-06 07:38:47.972347,2016-04-06 07:38:47.972347
203,216,,,4,8,32,2016-04-06 07:39:55.506727,2016-04-06 07:39:55.506727
204,216,,,4,7,24,2016-04-06 07:40:11.269724,2016-04-06 07:40:11.269724
205,216,,,5,9,40,2016-04-06 07:40:23.979310,2016-04-06 07:40:23.979310
206,216,,,5,8,40,2016-04-06 07:40:31.031252,2016-04-06 07:40:31.031252
207,216,,,5,7,32,2016-04-06 07:40:41.896576,2016-04-06 07:40:41.896576
208,216,,,6,9,40,2016-04-06 07:40:56.976361,2016-04-06 07:40:56.976361
209,216,,,6,8,40,2016-04-06 07:41:05.287903,2016-04-06 07:41:05.287903
210,216,,,6,7,32,2016-04-06 07:41:14.611469,2016-04-06 07:41:14.611469
211,161,,,4,9,8,2016-04-06 07:42:02.137867,2016-04-06 07:42:02.137867
212,161,,,4,8,8,2016-04-06 07:42:12.983111,2016-04-06 07:42:12.983111
213,161,,,4,7,8,2016-04-06 07:42:21.583905,2016-04-06 07:42:21.583905
214,161,,,5,9,24,2016-04-06 07:42:35.994618,2016-04-06 07:42:35.994618
215,161,,,5,8,24,2016-04-06 07:42:43.652670,2016-04-06 07:42:43.652670
216,161,,,5,7,24,2016-04-06 07:42:48.441425,2016-04-06 07:42:48.441425
217,161,,,6,9,24,2016-04-06 07:43:07.263116,2016-04-06 07:43:07.263116
218,161,,,6,8,24,2016-04-06 07:43:11.611746,2016-04-06 07:43:11.611746
219,161,,,6,7,24,2016-04-06 07:43:17.539142,2016-04-06 07:43:17.539142
220,106,,,4,9,8,2016-04-06 09:39:37.626054,2016-04-06 09:39:37.626054
221,106,,,4,8,8,2016-04-06 09:39:53.462918,2016-04-06 09:39:53.462918
222,106,,,4,7,8,2016-04-06 09:40:00.687297,2016-04-06 09:40:00.687297
223,106,,,5,9,24,2016-04-06 09:40:15.128795,2016-04-06 09:40:15.128795
224,106,,,5,8,24,2016-04-06 09:40:26.235230,2016-04-06 09:40:26.235230
225,106,,,5,7,24,2016-04-06 09:40:40.128508,2016-04-06 09:40:40.128508
226,106,,,6,9,24,2016-04-06 09:40:57.212513,2016-04-06 09:40:57.212513
227,106,,,6,8,24,2016-04-06 09:41:10.228328,2016-04-06 09:41:10.228328
228,106,,,6,7,24,2016-04-06 09:41:16.190941,2016-04-06 09:41:16.190941
229,214,,,4,9,8,2016-04-06 09:42:03.805798,2016-04-06 09:42:03.805798
230,214,,,4,8,8,2016-04-06 09:42:08.697850,2016-04-06 09:42:08.697850
231,214,,,4,7,8,2016-04-06 09:42:15.152407,2016-04-06 09:42:15.152407
232,214,,,5,9,24,2016-04-06 09:42:36.339223,2016-04-06 09:42:36.339223
233,214,,,5,8,24,2016-04-06 09:42:41.426679,2016-04-06 09:42:41.426679
234,214,,,5,7,24,2016-04-06 09:42:46.860153,2016-04-06 09:42:46.860153
235,214,,,6,9,24,2016-04-06 09:42:57.865354,2016-04-06 09:42:57.865354
236,214,,,6,8,24,2016-04-06 09:43:03.391578,2016-04-06 09:43:03.391578
237,214,,,6,7,24,2016-04-06 09:43:10.544852,2016-04-06 09:43:10.544852
238,148,,,4,9,24,2016-04-06 09:44:55.903809,2016-04-06 09:44:55.903809
239,148,,,4,8,16,2016-04-06 09:45:22.869924,2016-04-06 09:45:22.869924
240,148,,,4,7,8,2016-04-06 09:45:37.078677,2016-04-06 09:45:37.078677
241,148,,,5,9,12,2016-04-06 09:45:52.968810,2016-04-06 09:45:52.968810
242,148,,,5,8,8,2016-04-06 09:46:05.366087,2016-04-06 09:46:05.366087
243,148,,,5,7,4,2016-04-06 09:46:16.611309,2016-04-06 09:46:16.611309
244,148,,,6,9,12,2016-04-06 09:46:32.425283,2016-04-06 09:46:32.425283
245,148,,,6,8,8,2016-04-06 09:46:45.553688,2016-04-06 09:46:45.553688
252,94,,,5,7,4,2016-04-06 09:51:02.526877,2016-04-06 09:51:02.526877
254,94,,,6,8,8,2016-04-06 09:51:27.170441,2016-04-06 09:51:27.170441
246,148,,,6,7,4,2016-04-06 09:46:59.707766,2016-04-06 09:46:59.707766
247,94,,,4,9,24,2016-04-06 09:50:05.111859,2016-04-06 09:50:05.111859
248,94,,,4,8,16,2016-04-06 09:50:14.288801,2016-04-06 09:50:14.288801
249,94,,,4,7,8,2016-04-06 09:50:25.877195,2016-04-06 09:50:25.877195
