0,1,2,3,4,5,6,7,8,9
1,10-26-26,0.1,0.26,0.26,10.0,3.85,3.85,2016-03-29 12:34:13.815503,2016-06-16 13:42:25.059745
2,14-28-14,0.14,0.28,0.14,7.14,3.57,7.14,2016-03-29 12:34:55.212573,2016-06-16 13:42:36.698012
