id,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,sulpher,zinc,boron,iron,manganese,copper,test_id,created_at,updated_at,ph_rating,ec_rating,oc_rating,n_rating,p_rating,k_rating,s_rating,zn_rating,b_rating,fe_rating,mn_rating,cu_rating,mixed_fertilizer_rate_id,zn_rw_rating,user_id,shc_lang_version,distributed,soil_health_cards_count
685893,7.3,0.21,0.3,212.8,230.0,375.0,3.2,0.38,0.09,8.6,2.8,0.24,447228,2017-04-21 09:35:18.818251,2017-04-21 09:35:18.818251,3,5,9,9,7,7,9,11,11,10,10,10,1,11.0,3899.0,bn,1.0,7
686114,4.4,0.03,0.59,416.0,18.2,136.0,9.31,0.64,0.26,10.91,5.73,0.74,541023,2017-04-21 09:55:55.019857,2017-04-21 09:55:55.019857,1,5,8,8,9,9,9,10,11,10,10,10,1,11.0,3299.0,bn,1.0,1
685934,5.71,0.64,0.39,212.0,135.4,339.9,12.2,0.85,0.92,10.4,1.6,0.81,952033,2017-04-21 09:38:26.979519,2017-04-21 09:38:26.979519,2,5,9,9,7,8,8,10,10,10,10,10,1,11.0,2468.0,bn,1.0,1
685973,6.0,0.22,0.69,414.0,61.0,376.0,5.0,1.16,0.34,32.14,16.84,1.6,239807,2017-04-21 09:41:23.184928,2017-04-21 09:41:23.184928,2,5,8,8,8,7,9,10,11,10,10,10,1,10.0,2473.0,bn,1.0,5
686272,7.14,0.26,0.69,0.46,59.0,247.0,17.42,0.82,0.19,24.79,6.58,2.82,510553,2017-04-21 10:00:30.144993,2017-04-21 10:00:30.144993,3,5,8,9,8,8,7,10,11,10,10,10,1,11.0,3948.0,bn,1.0,3
685842,5.36,0.12,0.94,488.0,271.0,170.0,43.47,1.26,0.74,20.61,6.29,5.8,640443,2017-04-21 09:31:19.293792,2017-04-21 09:31:19.293792,1,5,7,7,7,9,7,10,10,10,10,10,1,10.0,3263.0,bn,1.0,14
685874,5.86,0.16,0.41,322.0,19.0,305.0,13.36,0.53,0.22,17.39,7.66,1.18,969355,2017-04-21 09:33:47.487216,2017-04-21 09:33:47.487216,2,5,9,8,9,8,8,11,11,10,10,10,1,11.0,2741.0,bn,1.0,4
685849,6.08,0.5,0.53,332.36,56.68,205.15,3.83,0.84,0.64,26.11,14.77,0.47,887439,2017-04-21 09:31:53.475581,2017-04-21 09:31:53.475581,2,5,8,8,8,8,9,10,10,10,10,10,1,11.0,4817.0,bn,1.0,4
686097,6.1,0.09,0.78,549.0,16.8,160.0,8.21,1.24,0.12,14.76,25.22,0.72,502085,2017-04-21 09:53:57.459593,2017-04-21 09:53:57.459593,2,5,7,7,9,9,9,10,11,10,10,10,1,10.0,3299.0,bn,1.0,1
685899,5.6,0.9,0.72,340.0,270.0,210.0,37.78,0.98,0.64,16.84,1.61,4.78,654709,2017-04-21 09:35:41.018964,2017-04-21 09:35:41.018964,2,5,8,8,7,8,7,10,10,10,10,10,1,10.0,3263.0,bn,1.0,5
