id,crop_reference_id,nitrogen,phosphorus,potassium,sulphur,zinc,boron,iron,manganese,copper,organic_manure,biofertiliser,lime,gypsum,created_at,updated_at,result_id,mixed_fertilizer_urea,mixed_fertilizer_ssp,mixed_fertilizer_mop,mixed_fertilizer_required
3614,112,104,175,47,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:34:00.149006,2016-05-02 06:54:48.913351,1192,81,0,0,108
3613,60,52,88,23,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:34:00.130102,2016-05-02 06:54:48.922908,1192,40,0,0,54
3612,118,104,163,43,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:34:00.106818,2016-05-02 06:54:48.932670,1192,82,0,0,100
3611,168,104,175,47,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 10:34:00.088138,2016-05-02 06:54:48.946557,1192,81,0,0,108
3602,114,122,175,40,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 10:29:20.900501,2016-05-02 06:54:49.050297,1188,102,25,0,92
3541,60,61,75,23,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:09:09.491104,2016-05-02 06:54:50.039099,1170,51,0,3,46
3540,115,43,63,17,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:09:09.473008,2016-05-02 06:54:50.048460,1170,35,0,0,39
3539,169,104,150,40,,10 kg/ acre at land preparation,0.1 % Disodium octaborate tetrahydrate @250 l/ ha at 3rd week and 500 l /ha at 6th week of sowing ,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:09:09.451901,2016-05-02 06:54:50.058162,1170,84,0,0,92
3531,60,61,75,23,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:06:47.303796,2016-05-02 06:54:50.369204,1167,51,0,3,46
3530,115,43,63,17,,10 kg/ acre at land preparation,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:06:47.284027,2016-05-02 06:54:50.378521,1167,35,0,0,39
3529,169,104,150,40,,10 kg/ acre at land preparation,0.1 % Disodium octaborate tetrahydrate @250 l/ ha at 3rd week and 500 l /ha at 6th week of sowing ,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,,,2016-04-15 10:06:47.263879,2016-05-02 06:54:50.388289,1167,84,0,0,92
3517,114,113,175,40,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 10:03:57.813750,2016-05-02 06:54:50.527693,1162,93,25,0,92
3516,195,17,150,13,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 10:03:57.796526,2016-05-02 06:54:50.537213,1162,11,100,0,31
3505,62,122,175,47,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,600 Kg/Acre,,2016-04-15 09:59:02.073713,2016-05-02 06:54:50.933453,1158,98,0,0,108
3504,167,174,375,100,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,600 Kg/Acre,,2016-04-15 09:59:02.063680,2016-05-02 06:54:50.943260,1158,123,0,0,231
3503,114,113,163,43,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,600 Kg/Acre,,2016-04-15 09:59:02.052980,2016-05-02 06:54:50.952535,1158,91,0,0,100
3467,60,52,75,23,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:12.044178,2016-05-02 06:54:52.053201,1145,42,0,3,46
3466,61,43,63,17,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:12.035231,2016-05-02 06:54:52.066143,1145,35,0,0,39
3465,117,52,75,27,,,0.1 % Disodium octaborate tetrahydrate @100 l/ acre at 3rd week and 200 l /acre at 6th week of sowing,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:12.026479,2016-05-02 06:54:52.078880,1145,42,0,7,46
3464,168,104,150,47,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:12.017152,2016-05-02 06:54:52.092511,1145,84,0,7,92
3463,167,174,375,100,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:12.007999,2016-05-02 06:54:52.105083,1145,123,0,0,231
3462,114,113,163,47,,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 09:46:11.998990,2016-05-02 06:54:52.118287,1145,91,0,3,100
3444,114,113,163,40,,,,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,800 Kg/Acre,,2016-04-15 09:37:10.675592,2016-05-02 06:54:52.435042,1138,93,13,0,92
