id,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,sulpher,zinc,boron,iron,manganese,copper,test_id,created_at,updated_at,ph_rating,ec_rating,oc_rating,n_rating,p_rating,k_rating,s_rating,zn_rating,b_rating,fe_rating,mn_rating,cu_rating,mixed_fertilizer_rate_id,zn_rw_rating,user_id,shc_lang_version,distributed,soil_health_cards_count
45189,6.41,0.32,0.84,467.0,198.0,160.0,21.6,1.42,0.64,16.64,7.36,4.64,62642,2016-07-14 18:29:59.999999,2016-07-14 12:53:15.552964,2,5,7,7,7,9,7,10,10,10,10,10,1,10,,bn,1.0,8
45190,6.48,0.33,0.72,336.0,201.0,255.0,24.26,1.26,0.62,10.48,8.9,7.32,62643,2016-07-14 18:29:59.999999,2016-07-14 12:53:15.877343,2,5,8,8,7,8,7,10,10,10,10,10,1,10,,bn,1.0,8
45191,6.52,0.39,0.64,288.0,226.0,290.0,20.5,1.2,0.56,11.56,8.26,8.96,62644,2016-07-14 18:29:59.999999,2016-07-14 12:53:16.457956,3,5,8,8,7,8,7,10,10,10,10,10,1,10,,bn,1.0,6
45192,6.34,0.95,0.91,488.0,237.0,155.0,32.8,0.9,0.6,12.62,8.16,7.56,62645,2016-07-14 18:29:59.999999,2016-07-14 12:53:16.876918,2,5,7,7,7,9,7,10,10,10,10,10,1,10,,bn,1.0,8
45193,6.36,0.94,0.63,281.0,240.0,200.0,19.8,0.94,0.54,17.48,12.64,7.32,62646,2016-07-14 18:29:59.999999,2016-07-14 12:53:17.303508,2,5,8,8,7,8,7,10,10,10,10,10,1,10,,bn,1.0,8
45194,6.33,0.92,0.71,326.0,190.0,270.0,27.4,1.08,0.62,18.62,13.92,8.64,62647,2016-07-14 18:29:59.999999,2016-07-14 12:53:17.645136,2,5,8,8,7,8,7,10,10,10,10,10,1,10,,bn,1.0,5
45195,6.31,0.54,0.67,295.0,204.0,260.0,22.14,1.16,0.6,15.9,15.64,9.3,62648,2016-07-14 18:29:59.999999,2016-07-14 12:53:17.949110,2,5,8,8,7,8,7,10,10,10,10,10,1,10,,bn,1.0,5
45196,6.32,0.52,0.7,314.0,211.0,220.0,3.66,1.12,0.56,16.16,16.46,8.92,62649,2016-07-14 18:29:59.999999,2016-07-14 12:53:18.495408,2,5,8,8,7,8,9,10,10,10,10,10,1,10,,bn,1.0,4
45197,6.34,0.54,0.63,282.0,240.0,165.0,21.6,1.88,0.62,16.9,12.32,6.48,62650,2016-07-14 18:29:59.999999,2016-07-14 12:53:18.862533,2,5,8,8,7,9,7,10,10,10,10,10,1,10,,bn,1.0,8
45198,6.36,0.48,0.67,290.0,198.0,150.0,32.24,1.7,0.52,17.48,13.48,5.32,62651,2016-07-14 18:29:59.999999,2016-07-14 12:53:19.242850,2,5,8,8,7,9,7,10,10,10,10,10,1,10,,bn,1.0,8
45199,6.66,0.32,0.63,284.0,206.0,180.0,16.1,1.26,0.64,18.92,10.92,4.36,62652,2016-07-14 18:29:59.999999,2016-07-14 12:53:19.611363,3,5,8,8,7,9,7,10,10,10,10,10,1,10,,bn,1.0,8
45200,6.78,0.31,0.71,325.0,212.0,205.0,19.8,2.0,0.62,20.34,8.46,3.92,62653,2016-07-14 18:29:59.999999,2016-07-14 12:53:19.881155,3,5,8,8,7,8,7,10,10,10,10,10,1,10,,bn,1.0,3
45201,6.8,0.33,0.7,314.0,86.0,125.0,12.78,1.88,0.6,21.56,9.32,4.64,62654,2016-07-14 18:29:59.999999,2016-07-14 12:53:20.196557,3,5,8,8,8,9,8,10,10,10,10,10,1,10,,bn,1.0,6
45202,3.5,0.09,1.45,534.76,175.0,195.0,9.3,1.24,0.32,18.3,6.95,1.46,62655,2016-07-14 18:29:59.999999,2016-07-14 12:57:59.161053,1,5,7,7,7,9,9,10,11,10,10,10,1,10,,bn,1.0,8
45203,3.4,0.12,1.25,461.0,125.0,285.0,12.36,1.24,0.41,23.5,5.75,2.35,62656,2016-07-14 18:29:59.999999,2016-07-14 12:57:59.641001,1,5,7,7,7,8,8,10,10,10,10,10,1,10,,bn,1.0,9
45204,3.8,0.15,0.4,147.52,475.0,245.0,7.86,0.38,0.36,20.7,5.73,2.62,62657,2016-07-14 18:29:59.999999,2016-07-14 12:58:00.112554,1,5,9,9,7,8,9,11,10,10,10,10,1,11,,bn,1.0,7
45205,3.5,0.16,0.36,132.768,125.0,300.0,13.95,0.68,0.21,16.5,6.72,1.42,62658,2016-07-14 18:29:59.999999,2016-07-14 12:58:00.650978,1,5,9,9,7,8,8,10,11,10,10,10,1,11,,bn,1.0,8
45206,3.7,0.24,0.36,132.768,135.0,520.0,12.06,0.64,0.06,16.7,7.18,3.98,62659,2016-07-14 18:29:59.999999,2016-07-14 12:58:01.140517,1,5,9,9,7,7,8,10,11,10,10,10,1,11,,bn,1.0,8
45207,3.1,0.26,0.37,136.456,495.0,120.0,14.96,0.88,0.08,18.2,6.54,1.26,62660,2016-07-14 18:29:59.999999,2016-07-14 12:58:01.561045,1,5,9,9,7,9,8,10,11,10,10,10,1,10,,bn,1.0,7
45208,3.6,0.29,0.75,276.6,380.0,190.0,9.85,0.82,0.1,23.6,3.95,1.56,62661,2016-07-14 18:29:59.999999,2016-07-14 12:58:01.918294,1,5,7,9,7,9,9,10,11,10,10,10,1,11,,bn,1.0,6
