0,1,2,3,4,5
3918,Chakundi,000,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3919,Badirchak,023,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3920,Talkuri,023,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3921,Moujuri,023,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3922,Mathudi,024,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3923,Barapukuria,024,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3924,Barothol,024,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3925,Nabaghanti,025,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3926,Garparira,025,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3927,Sripur,025,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3928,Uttardhadka,026,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3929,Kalajhoria,026,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3930,Kuldihi,026,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3931,Dhanuya,027,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3932,Namogoria,027,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3933,Dakshin  Dhadka,027,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3934,Kalla,028,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3935,Gangutia,028,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3936,Satpukuria,029,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3937,Raidi,029,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3938,Kankhaya,030,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3939,Barakar,030,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3940,Chungadi,031,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3941,Bonbishnupur,031,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3942,Nischinta,032,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3943,Mahatadi,032,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3944,Keshabganj,033,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3945,Boladi,033,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3946,Chak Keshabganj,034,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3947,Narayanchak,034,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3948,Asansol,035,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3949,Hatinal,035,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3950,Kalipahari,036,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3951,Parhra,036,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3952,Jashidhi,037,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3953,Mohishila,037,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3954,Kotaldihi,038,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3955,Sanktorya,038,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3956,Ghushik,039,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3957,Disergarh,039,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3958,Shitalpur,040,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3959,Damara,040,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3960,Kumardiha,041,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3961,Manoharchak,041,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3962,Paschim Gopalpur,041,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3963,Chhotodhemua,042,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3964,Shankheri,042,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3965,Sodepur,043,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3966,Barul,043,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3967,Radhanagar,044,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3968,Darbardanga,044,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3969, ADDA Block-1,000,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3970,Asanbani,045,23,2015-11-04 18:29:28,2015-11-04 18:29:28
3971,Patharchur,045,23,2015-11-04 18:29:28,2015-11-04 18:29:28
