0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
4277,10194,,Nadia 1 - STL Berhampore,2016-06-28,7.84,0.48,0.45,246,62,142,13.5,0.51,0.28,13.6,2.41,0.74,10-26-26,True,13017236151,2016-06-28 12:42:07.421785,2016-06-28 12:42:07.649346
4278,10195,,Nadia 1 - STL Berhampore,2016-06-28,7.24,0.36,0.52,294,47,112,10.7,0.42,0.24,12.5,1.89,0.86,10-26-26,True,13017236152,2016-06-28 12:42:07.768064,2016-06-28 12:42:08.038399
4279,10196,,Nadia 1 - STL Berhampore,2016-06-28,7.53,0.69,0.36,185,,45,14.2,0.52,0.16,10.2,2.64,0.94,10-26-26,True,13017236153,2016-06-28 12:42:08.135312,2016-06-28 12:42:08.314139
4280,10197,,Nadia 1 - STL Berhampore,2016-06-28,7.19,0.64,0.45,246,58,152,13.9,0.26,0.25,13.5,3.45,0.73,10-26-26,True,13017236154,2016-06-28 12:42:08.407715,2016-06-28 12:42:08.561522
4281,10198,,Nadia 1 - STL Berhampore,2016-06-28,7.64,0.25,0.53,300,46,147,14.5,0.35,0.24,13.9,2.94,0.85,10-26-26,True,13017236155,2016-06-28 12:42:08.653474,2016-06-28 12:42:08.804249
4282,10199,,Nadia 1 - STL Berhampore,2016-06-28,7.25,0.53,0.35,178,62,136,10.2,0.26,0.16,13.7,2.13,0.76,10-26-26,True,13017236156,2016-06-28 12:42:08.891858,2016-06-28 12:42:09.170548
4283,10200,,Nadia 1 - STL Berhampore,2016-06-28,7.63,0.25,0.56,321,53,120,14.6,0.41,0.21,14.6,2.91,0.71,10-26-26,True,13017236157,2016-06-28 12:42:09.351181,2016-06-28 12:42:09.677149
4284,10201,,Nadia 1 - STL Berhampore,2016-06-28,7.54,0.64,0.53,300,57,147,10.3,0.56,0.25,12.8,3.45,0.96,10-26-26,True,13017236158,2016-06-28 12:42:09.880832,2016-06-28 12:42:10.289472
4285,10202,,Nadia 1 - STL Berhampore,2016-06-28,7.24,0.17,0.64,375,48,156,13.6,0.29,0.14,12.7,2.41,0.58,10-26-26,True,13017236159,2016-06-28 12:42:10.478089,2016-06-28 12:42:10.905706
4286,10203,,Nadia 1 - STL Berhampore,2016-06-28,7.49,0.46,0.58,334,53,141,14.1,0.34,0.26,13.5,1.69,0.67,10-26-26,True,13017236160,2016-06-28 12:42:11.106852,2016-06-28 12:42:11.469168
4287,10204,,Nadia 1 - STL Berhampore,2016-06-28,7.58,0.29,0.59,341,59,154,12.5,0.14,0.34,14.6,2.97,0.48,10-26-26,True,13017236161,2016-06-28 12:42:11.676791,2016-06-28 12:42:12.058846
4288,10205,,Nadia 1 - STL Berhampore,2016-06-28,7.52,0.53,0.63,368,67,158,10.1,0.27,0.12,12.9,3.78,0.69,10-26-26,True,13017236162,2016-06-28 12:42:12.245597,2016-06-28 12:42:12.566273
4289,10206,,Nadia 1 - STL Berhampore,2016-06-28,7.46,0.28,0.57,328,48,169,12.9,0.53,0.33,13.4,2.56,0.59,10-26-26,True,13017236163,2016-06-28 12:42:12.658048,2016-06-28 12:42:12.849548
4290,10207,,Nadia 1 - STL Berhampore,2016-06-28,7.55,0.61,0.42,226,57,132,13.6,0.16,0.21,17.5,2.84,0.34,10-26-26,True,13017236164,2016-06-28 12:42:12.958704,2016-06-28 12:42:13.182925
4291,10208,,Nadia 1 - STL Berhampore,2016-06-28,7.45,0.43,0.53,300,59,125,12.7,0.27,0.14,15.9,2.37,0.42,10-26-26,True,13017236165,2016-06-28 12:42:13.311499,2016-06-28 12:42:13.564105
4292,10209,,Nadia 1 - STL Berhampore,2016-06-28,7.56,0.53,0.59,341,67,147,14.8,0.49,0.23,13.4,3.41,0.75,10-26-26,True,13017236166,2016-06-28 12:42:13.701295,2016-06-28 12:42:13.922870
4293,10210,,Nadia 1 - STL Berhampore,2016-06-28,7.59,0.28,0.67,396,15,123,13.9,0.35,0.34,12.8,1.87,0.64,10-26-26,True,13017236167,2016-06-28 12:42:14.136422,2016-06-28 12:42:14.511657
4294,10211,,Nadia 1 - STL Berhampore,2016-06-28,7.91,0.16,0.41,219,53,126,13.5,0.52,0.11,14.9,2.56,0.58,10-26-26,True,13017236168,2016-06-28 12:42:14.728967,2016-06-28 12:42:15.096498
4295,10212,,Nadia 1 - STL Berhampore,2016-06-28,7.53,0.37,0.45,246,62,135,14.2,0.46,0.25,10.2,1.55,0.92,10-26-26,True,13017236169,2016-06-28 12:42:15.267992,2016-06-28 12:42:15.574320
4296,10213,,Nadia 1 - STL Berhampore,2016-06-28,7.84,0.49,0.58,334,57,172,12.3,0.26,0.27,13.6,2.64,0.71,10-26-26,True,13017236170,2016-06-28 12:42:15.757603,2016-06-28 12:42:16.141154
4297,10214,,Nadia 1 - STL Berhampore,2016-06-28,7.52,0.25,0.59,341,48,156,12.1,0.34,0.29,12.7,3.14,0.43,10-26-26,True,13017236171,2016-06-28 12:42:16.339368,2016-06-28 12:42:16.732178
4298,10215,,Nadia 1 - STL Berhampore,2016-06-28,7.69,0.55,0.67,396,69,139,13.9,0.18,0.23,14.5,2.78,0.61,10-26-26,True,13017236172,2016-06-28 12:42:16.971091,2016-06-28 12:42:17.506070
4299,10216,,Nadia 1 - STL Berhampore,2016-06-28,8.02,0.48,0.56,321,57,145,11.7,0.27,0.25,13.9,2.74,0.42,10-26-26,True,13017236173,2016-06-28 12:42:17.689231,2016-06-28 12:42:18.040842
4300,10217,,Nadia 1 - STL Berhampore,2016-06-28,7.51,0.26,0.34,171,41,178,14.6,0.59,0.16,15.7,2.61,0.53,10-26-26,True,13017236174,2016-06-28 12:42:18.245101,2016-06-28 12:42:18.705336
4301,10218,,Nadia 1 - STL Berhampore,2016-06-28,7.48,0.34,0.58,334,56,145,12.8,0.57,0.34,14.9,3.14,0.68,10-26-26,True,13017236175,2016-06-28 12:42:18.897895,2016-06-28 12:42:19.069963
4302,10219,,Nadia 1 - STL Berhampore,2016-06-28,7.59,0.18,0.59,341,51,169,13.7,0.48,0.17,13.5,1.59,0.47,10-26-26,True,13017236176,2016-06-28 12:42:19.160445,2016-06-28 12:42:19.325552
4303,10220,,Nadia 1 - STL Berhampore,2016-06-28,7.53,0.24,0.47,260,52,157,14.6,0.35,0.23,14.2,2.43,0.58,10-26-26,True,13017236177,2016-06-28 12:42:19.425796,2016-06-28 12:42:20.314543
4304,10606,6395.0,Malda 1 - STL Malda,2016-06-28,5.3,0.05,0.72,375,72,398,2.9,0.13,0.09,2.4,,,10-26-26,True,09009253513,2016-06-28 12:54:28.764008,2016-06-28 12:54:29.169007
4305,10607,6396.0,Malda 1 - STL Malda,2016-06-28,5.4,0.06,0.69,372,32,268,3,0.1,0.08,2.5,,,10-26-26,True,09009253514,2016-06-28 12:54:29.407284,2016-06-28 12:54:29.724947
4306,10608,6397.0,Malda 1 - STL Malda,2016-06-28,5.5,0.08,0.3,165,19,281,1.4,0.03,0.04,1.4,,,10-26-26,True,09009253515,2016-06-28 12:54:29.998726,2016-06-28 12:54:30.321753
4307,10609,6398.0,Malda 1 - STL Malda,2016-06-28,5.2,0.09,0.33,195,46,174,2.7,0.04,0.05,1.1,,,10-26-26,True,09009253516,2016-06-28 12:54:30.594509,2016-06-28 12:54:30.879702
4308,10610,6399.0,Malda 1 - STL Malda,2016-06-28,5,0.07,0.37,210,62,214,2.9,0.05,0.06,1.3,,,10-26-26,True,09009253517,2016-06-28 12:54:31.149238,2016-06-28 12:54:31.449930
4309,10611,6400.0,Malda 1 - STL Malda,2016-06-28,5.1,0.05,0.6,312,72,228,3.4,0.11,0.1,2.2,,,10-26-26,True,09009253518,2016-06-28 12:54:31.682112,2016-06-28 12:54:31.956846
4310,10612,6401.0,Malda 1 - STL Malda,2016-06-28,5.3,0.07,0.57,285,35,255,1.9,0.1,0.1,2.4,,,10-26-26,True,09009253519,2016-06-28 12:54:32.074457,2016-06-28 12:54:32.229614
4311,10613,6402.0,Malda 1 - STL Malda,2016-06-28,5.4,0.09,0.54,292,77,268,3.8,0.11,0.07,2.1,,,10-26-26,True,09009253520,2016-06-28 12:54:32.358857,2016-06-28 12:54:32.609195
