id,name,jl_number,block_id
9223,Jashpur,173,68.0
9224,Kantari,174,68.0
9225,Koraturi,175,68.0
9226,Beleturi,176,68.0
9227,Pirajpur,177,68.0
9228,Jhariya Md.Pur,178,68.0
9229,Bhadutia,179,68.0
9230,Bishalpur,180,68.0
9231,Kolara,181,68.0
9232,Deychandara,182,68.0
9233,Teliadanga,183,68.0
9234,Mandarhati,184,68.0
9235,Dostabad,185,68.0
9236,Mohamadnagar,186,68.0
9237,Namsahapur,187,68.0
9238,Ramchandrapur,188,68.0
9239,Dhuliara,189,68.0
9240,Shukdebpur,190,68.0
9242,Purbbapratappur,192,68.0
9243,Selarpur,193,68.0
9244,Thobgram,194,68.0
9245,Kuita,195,68.0
9246,Rengguni,196,68.0
9247,Damdama,197,68.0
9248,Chandidaspur,198,68.0
9249,Chhotosalunchi,199,68.0
9250,Paratpur,200,68.0
9251,Ghoratari,201,68.0
9252,Dhagram,202,68.0
9253,Ghorapara,203,68.0
9254,Palsara,204,68.0
9255,Kandighi,205,68.0
9256,Ganra,206,68.0
9257,Bhaluka,207,68.0
9258,Bodhgram,208,68.0
9259,Brahmandihi,209,68.0
9260,Khagra,210,68.0
9261,Paduma,211,68.0
9262,Khandagram,212,68.0
9263,Basahari,213,68.0
9264,Aroyan,214,68.0
9265,Nawadangal,215,68.0
9266,Chakamuliya,216,68.0
9267,Nejani,217,68.0
9268,Sekendarpur,218,68.0
9269,Bidaipur,219,68.0
9270,Sajina,220,68.0
9271,Barasalunchi,221,68.0
9272,Shibrawtara,222,68.0
9273,Jatra,223,68.0
9274,Chhoto Gunsima,224,68.0
9275,Bhagabatipur,225,68.0
9276,Baragunsima,226,68.0
9277,Sija,227,68.0
9278,Ghoga,228,68.0
9279,Belhari,229,68.0
9280,Khosnagar,230,68.0
9281,Karkari,231,68.0
9282,Sirasa,232,68.0
9283,Kalyanpur,233,68.0
9284,Kanchannagar,234,68.0
9285,Kultore,235,68.0
9286,Katapalan,236,68.0
9287,Kurmitha,006,69.0
9288,Palsa,009,69.0
9289,Jahanabad,010,69.0
9290,Nandar,011,69.0
9291,Kandpur,012,69.0
9292,Makra,013,69.0
9293,Ulindi,014,69.0
9294,Ikshusara,015,69.0
9295,Anaipur,016,69.0
9296,Khustikuri,017,69.0
9297,Uttar sultanpur,018,69.0
9298,Dhansa,019,69.0
9299,Golapbag,020,69.0
9300,Srirampur,021,69.0
9301,Mongaldihi,022,69.0
9302,Brahmandihi,023,69.0
9303,Takipur,024,69.0
9304,Araji Brahmandihi,025,69.0
9305,Raghaipur,026,69.0
9306,Choumandalpur,027,69.0
9307,Hansra,028,69.0
9308,Chatterbandi,029,69.0
9309,Amladihi,030,69.0
9310,Bilati,031,69.0
9311,Khirai,032,69.0
9312,Maheshwarpur,033,69.0
9313,Goltia,034,69.0
9314,Padmabati,035,69.0
9315,Tul Amra,036,69.0
9316,Harishchandrapur,037,69.0
9317,Dhanaishibrambati,038,69.0
9318,Chakrup,039,69.0
9319,Satlapur,040,69.0
9320,Nankula Sirali,041,69.0
9321,Delora,042,69.0
9322,Nripatigram,043,69.0
9323,Gopinathapur,044,69.0
9324,Rakona,045,69.0
9325,Dharampur,046,69.0
9326,Shunut,047,69.0
9327,Shalka,048,69.0
9328,Uattarkona,049,69.0
9329,Tarapur,050,69.0
9330,Rangpur,051,69.0
9331,Muragachhi,052,69.0
9332,Madanpur,053,69.0
9333,Kharui,054,69.0
9334,Bara Nabagram,055,69.0
9335,Shirsha,056,69.0
9336,Chakparan,057,69.0
9337,Chakrasik,058,69.0
9338,Shukdala,059,69.0
9339,Dakshin Ekdala,060,69.0
9340,Billamangal Beluria,061,69.0
9341,Tikarbeta,062,69.0
9342,Jaydeb Kenduli,063,69.0
9343,Narasunda,001,69.0
9344,Sahapur,064,69.0
9345,Batikar,002,69.0
9346,Janubajar,065,69.0
9347,Uttar Ekdala,004,69.0
9348,Raghunath Pur,066,69.0
9349,Baharampur,005,69.0
9350,Mundira,067,69.0
9351,Balarpur,068,69.0
9352,Santoshpur,069,69.0
9353,Bhubaneshwar,070,69.0
9354,Sugar,071,69.0
9355,Chhotochack,072,69.0
9356,Akamba,073,69.0
9357,Dhulpur,074,69.0
9358,Kshudrapur,075,69.0
9359,Udaypur,076,69.0
9360,Pashchimanarayanpur,077,69.0
9361,Pashchim Pratappur,078,69.0
9362,Bharatpur,079,69.0
9363,Nohana,080,69.0
9364,Dumrut,081,69.0
9365,Ichhapur,082,69.0
9366,Bhabanipur,083,69.0
9367,Shunmuni,084,69.0
9368,Tinor,085,69.0
9369,Shripur,086,69.0
9370,Payer,087,69.0
9371,Baruipur Mehendi Ganj,088,69.0
9372,Radhaballabhpur,089,69.0
9373,Narasinghapur,090,69.0
9374,Mirjapur,091,69.0
9375,Baruipur,092,69.0
9376,Debipur,093,69.0
9377,Gangapur,094,69.0
9378,Ilambajar,095,69.0
9379,Naoga,096,69.0
9380,Kamaipur,097,69.0
9381,Nanasol,098,69.0
9382,Murandihi,099,69.0
9383,Chunpalasi,100,69.0
9384,Sabajapur,101,69.0
9385,Jalalnagar,102,69.0
9386,Khadimpukur,103,69.0
9387,Sakar gachha,104,69.0
9388,Paikuni,105,69.0
9389,Pachhiara,106,69.0
9390,Koyra,107,69.0
9391,Panchtentuli,108,69.0
9392,Katna,109,69.0
9393,Goltikuri,110,69.0
9394,Dakshin Sultanpur,111,69.0
9395,Shibpur,112,69.0
9396,Nachansaha,113,69.0
9397,Purba Narayanpur,114,69.0
9398,Matikona,115,69.0
9399,Harishpur,116,69.0
9400,Achhaipara,117,69.0
9401,Saldanga,118,69.0
9402,Dhalla,119,69.0
9403,Pratappur,120,69.0
9404,Beloya,121,69.0
9405,Chaupahari Janggal,122,69.0
9406,Khayerbuni,123,69.0
9407,Nelegar,124,69.0
9408,Etapur,125,69.0
9409,Ushahar,126,69.0
9410,Ushardihi,127,69.0
9411,Lakshmipur,128,69.0
9412,Dwaronda,129,69.0
9413,Ramnagar,130,69.0
9414,Kamarpara,131,69.0
9415,Gopalnagar,132,69.0
9416,Chella,133,69.0
9417,Halsidangga,134,69.0
9418,Shrichandrapur,135,69.0
9419,Karchadihi,136,69.0
9420,Balta,149,69.0
9421,Kurulmatiya,001,70.0
9422,Patalpur,002,70.0
9423,Madarpur,003,70.0
9424,Jaypur,004,70.0
9425,Talpukur,005,70.0
9426,Ruhida,006,70.0
9427,Hirapur,007,70.0
9428,Musabni,008,70.0
9429,Lawberiya,009,70.0
9430,Tilaboni,010,70.0
9431,Ramnagar,011,70.0
9432,Dhaka,012,70.0
9433,Gangapur,013,70.0
9434,Aligarh,014,70.0
9435,Murgathali,015,70.0
9436,Ashna,016,70.0
9437,Sundarkhela,017,70.0
9438,Jahanabad,018,70.0
9439,Sahabad,019,70.0
9440,Ajimnagar,020,70.0
9441,Chakagaya,021,70.0
9442,Bhaluksundi,022,70.0
9443,Gobindachak,023,70.0
9444,Tabadumara,024,70.0
9445,Muradganj,025,70.0
9446,Nimra,026,70.0
9447,Kushma,027,70.0
9448,Arali,028,70.0
9449,Natungram,029,70.0
9450,Gangmuri,030,70.0
9451,Gobra,031,70.0
9452,Ranigram,032,70.0
9453,Patamuri,033,70.0
9454,Noyabag,034,70.0
9455,Arajirajnagar,035,70.0
9456,Bhunbag,036,70.0
9457,Deyanganj,037,70.0
9458,Rajnagar,038,70.0
9459,Shankarpur,039,70.0
9460,Kathgharia,040,70.0
9461,Dubrajpur,041,70.0
9462,Bandi,042,70.0
9463,Abadnagar,043,70.0
9464,Barshal,044,70.0
9465,Muktipur,045,70.0
9466,Gaisara,046,70.0
9467,Tentuliabandh,047,70.0
9468,Gulalgachhi,048,70.0
9469,Parashiya,049,70.0
9470,Khayaradihi,050,70.0
9471,Tantipara,051,70.0
9472,Adampur,052,70.0
9473,Barkonda,053,70.0
9474,Jhikra,054,70.0
9475,Malkura,055,70.0
9476,Padampur,056,70.0
9477,Sidpur,057,70.0
9478,Pashchimshirsha,058,70.0
9479,Ahammadpur,059,70.0
9480,Lawjorh,060,70.0
9481,Kundira,061,70.0
9482,Kabilashpur,062,70.0
9483,Raotara,063,70.0
9484,Tarashol,064,70.0
9485,Perul,065,70.0
9486,Belera,066,70.0
9487,Bidhaipur,067,70.0
9488,Bilhera,068,70.0
9489,Kushaipur,069,70.0
9490,Bhabanipur,070,70.0
9491,Ranipur,071,70.0
9492,Raghunandanpur,072,70.0
9493,Mahishagram,073,70.0
9494,Kanmora,074,70.0
9495,Panikola,075,70.0
9496,Ganeshpur,076,70.0
9497,Bhabanandapur,077,70.0
9498,Daldala,078,70.0
9499,Durgapur,079,70.0
9500,Haripur,080,70.0
9501,Beshnabdaspur,081,70.0
9502,Sajina,084,70.0
9503,Gamarkunda,085,70.0
9504,Amlachaturi,086,70.0
9505,Jamira,087,70.0
9506,Faridpur,088,70.0
9507,Balarampur,089,70.0
9508,Chandrapur,090,70.0
9509,Fakirdas,091,70.0
9510,Kanaipur,092,70.0
9511,Madhaipur,093,70.0
9512,Chaktulsi,094,70.0
9513,Rajpur,095,70.0
9514,Takipur,096,70.0
9515,Barghata,097,70.0
9516,Patadanga,100,70.0
9517,Kushmashul,103,70.0
9518,Manoharpur,104,70.0
9519,Kanchannagar,136,70.0
9520,Baruliya,001,71.0
9521,Maliana,002,71.0
9522,Joka,003,71.0
9523,Kamalpur,004,71.0
9524,Lambadarpur,005,71.0
9525,Araipur,006,71.0
9526,Chandnisahebganj,007,71.0
9527,Suri,008,71.0
9528,Nurai,009,71.0
9529,Tilpara,010,71.0
9530,Bansjor,011,71.0
9531,Ajaypur,012,71.0
9532,Narsinghpur,013,71.0
9533,Durgapur,014,71.0
9534,Maheshpur,015,71.0
9535,Panchpakhuriya,016,71.0
9536,Nandapur,017,71.0
9537,Parsimuliya,018,71.0
9538,Shaktipur,019,71.0
9539,Junidpur,020,71.0
9540,Itagaria,021,71.0
9541,Chhoto Alunda,022,71.0
9542,baraalunda,023,71.0
9543,Banadihi,024,71.0
9544,Kakuriya,025,71.0
9545,Dhalla,026,71.0
9546,Kukharadihi,027,71.0
9547,Karimpur,028,71.0
9548,Changuriya,076,71.0
9549,Kutura,089,71.0
9550,Adda,090,71.0
9551,Chandanpur,091,71.0
9552,Gajalpur,092,71.0
9553,Mallikpur,093,71.0
9554,Singgur,094,71.0
9555,Amritpur,095,71.0
9556,Nahudari,096,71.0
9557,Abdarpur,097,71.0
9558,Sonator,102,71.0
9559,Anandapur,103,71.0
9560,Brajeragram,104,71.0
9561,Kalipur,105,71.0
9562,Karidhya,106,71.0
9563,Chhora,107,71.0
9564,Krishnapur,108,71.0
9565,Haridaspur,109,71.0
9566,Chormura,110,71.0
9567,Lakshindarpur,111,71.0
9568,Baramahula,112,71.0
9569,Amaipur,113,71.0
9570,Debaipur,114,71.0
9571,Amrapalan,115,71.0
9572,Gobindapur,116,71.0
9573,Mamrejpur,117,71.0
9574,Jibdharpur,118,71.0
9575,Palsara,119,71.0
9576,Chakdah,120,71.0
9577,Nimtikuri,121,71.0
9578,Uttarraypur,122,71.0
9579,Shanrhmara,123,71.0
9580,Mudamath,124,71.0
9581,Panuria,125,71.0
9582,Agar,126,71.0
9583,Barihat,127,71.0
9584,Bhurkuna,128,71.0
9585,Siur,129,71.0
9586,Kachujor,130,71.0
9587,Bangaon,131,71.0
9588,Lakshmandihi,132,71.0
9589,Saralpur,133,71.0
9590,Sekhdihi,134,71.0
9591,Mahubona,135,71.0
9592,Panch Tentul,136,71.0
9593,Mohanpur,137,71.0
9594,Turukbarihat,138,71.0
9595,Itepola,139,71.0
9596,Meherpur,140,71.0
9597,Dolgobindapur,141,71.0
9598,Dakshin Metegram,142,71.0
9599,Liara,143,71.0
9600,Kamar Dangal,144,71.0
9601,Mahula,179,71.0
9602,Panchkath,180,71.0
9603,Arajitkipur,181,71.0
9604,Sahabazar,182,71.0
9605,Dharampur,183,71.0
9606,Shirsha,184,71.0
9607,Naudiha,185,71.0
9608,Shushunibona,186,71.0
9609,Chatragachhi,187,71.0
9610,Uparjol,188,71.0
9611,Nagari,189,71.0
9612,Khordannagari,190,71.0
9613,Chandipur,191,71.0
9614,Bargaon,192,71.0
9615,Karamshal,193,71.0
9616,Hukmapur,194,71.0
9617,Nabagram,195,71.0
9618,Muruliachak,196,71.0
9619,Languliya,197,71.0
9620,Kenduli,198,71.0
9621,Raipur,199,71.0
9622,Kustor,200,71.0
9623,Sidhuli,201,71.0
9624,Bhandirban,202,71.0
9625,Khatangadihi,203,71.0
9626,Barchaturi,204,71.0
9627,Rajanpur,205,71.0
9628,Dhanyagram,206,71.0
9629,Ghoratori,207,71.0
9630,Nimdaspur,208,71.0
9631,Pathara,209,71.0
9632,Amgachhi,210,71.0
9633,Bataspur,211,71.0
9634,Tasarkata,212,71.0
9635,Ranpur,213,71.0
9636,Purba Bankati,214,71.0
9637,Lataboni,215,71.0
9638,Patharchapuri,216,71.0
9639,Mediabad,029,72.0
9640,Kulera,030,72.0
9641,Monpur,031,72.0
9642,Akhermath,032,72.0
9643,Faridpur,033,72.0
9644,Sadarpur,034,72.0
9645,Dhananjoybati,035,72.0
9646,Rostampur,036,72.0
9647,Kubirpur,037,72.0
9648,Gobra,038,72.0
9649,Deshalpur,039,72.0
9650,Haripur,040,72.0
9651,Bhagabanbati,041,72.0
9652,Sundardihi,042,72.0
9653,Bidaypur,043,72.0
9654,Meheran,044,72.0
9655,Bhramorkol,045,72.0
9656,Patanda,046,72.0
9657,Nimpalashi,047,72.0
9658,Khurika Tikuri,048,72.0
9659,Ikra,049,72.0
9660,Majigram,050,72.0
9661,Bansra,051,72.0
9662,Chakabadanga,052,72.0
9663,Damdama,053,72.0
9664,Goyalgram,054,72.0
9665,Dhaltikri,055,72.0
9666,Teghariya,056,72.0
9667,Chhotokustikuri,057,72.0
9668,Piashala,058,72.0
9669,Nijuri,059,72.0
9670,Behariya,060,72.0
9671,Kondaipur,061,72.0
