id,name,jl_number,block_id
29951,Binkar,010,217.0
29952,Mahishasthli,011,217.0
29953,Gopinathpur,012,217.0
29954,Goyalpara,013,217.0
29955,Pulinda,014,217.0
29956,Nawda,015,217.0
29957,Sahapur,016,217.0
29958,Ratanpur,017,217.0
29959,Betberia,018,217.0
29960,Kheyali,019,217.0
29961,Bil Bhandardah,020,217.0
29962,Paluighata,021,217.0
29963,Jafarabad,022,217.0
29964,Sattarpur,023,217.0
29965,Chaitanyapur,024,217.0
29966,Kaharpara,025,217.0
29967,Bhadur,026,217.0
29968,Daluya,027,217.0
29969,Rameswarpur,028,217.0
29970,Nalkunda,029,217.0
29971,Bhabtakharida,030,217.0
29972,Maheshpur,031,217.0
29973,Ratangopbati,032,217.0
29974,Sujapur,033,217.0
29975,Radhaballabhpur,034,217.0
29976,Banmalipur,035,217.0
29977,Bhabanandapur,036,217.0
29978,Jalalpur Diar,037,217.0
29979,Baralu,038,217.0
29980,Harinarayanpur,039,217.0
29981,Shibpur,040,217.0
29982,Shrikrishnapur,041,217.0
29983,Jalalpur,042,217.0
29984,Char Diar,043,217.0
29985,Kumarpur,044,217.0
29986,Araji Giridharipur,045,217.0
29987,Dayanagar,046,217.0
29988,Araji Jalalpur,047,217.0
29989,Jhunka,048,217.0
29990,Debkundu,049,217.0
29991,Madda,050,217.0
29992,Beldanga,051,217.0
29993,Hareknagar,052,217.0
29994,Bishannanagar,053,217.0
29995,Manik Nagar,054,217.0
29996,Kajisaha,055,217.0
29997,Begunbari,056,217.0
29998,Chak Hijuli,057,217.0
29999,Andiran,058,217.0
30000,Saruliya,059,217.0
30001,Barua,060,217.0
30002,Majhyampur,061,217.0
30003,Giridharipur,062,217.0
30004,Meliani,063,217.0
30005,Mirjapur,064,217.0
30006,Char Mirjapur,065,217.0
30007,Nawpukuriya,120,217.0
30008,Kapasdanga,125,217.0
30009,Char Kamnagar,066,218.0
30010,Kamnagar,067,218.0
30011,Nagar,068,218.0
30012,Maklishpur,069,218.0
30013,Saharbati,070,218.0
30014,Saharbati Diar,071,218.0
30015,Alikpur,072,218.0
30016,Mashimpur,073,218.0
30017,Sekendarpur,074,218.0
30018,Bazar Sau,075,218.0
30019,Ismalipur,076,218.0
30020,Kataikona,077,218.0
30021,Mian,078,218.0
30022,Shaktipur,079,218.0
30023,Santoshpur,080,218.0
30024,Chandpur,081,218.0
30025,Chandpur Diar,082,218.0
30026,Char Shaktipur,083,218.0
30027,Mahata,084,218.0
30028,Panchkatia,085,218.0
30029,Baidyapur,086,218.0
30030,Gholla,087,218.0
30031,Jaykrishnapur,088,218.0
30032,Dopukharia,089,218.0
30033,Garduara,090,218.0
30034,Arazi Jaykrishnapur,091,218.0
30035,Manikahar,092,218.0
30036,Chak Rangapara,093,218.0
30037,Palitpara,094,218.0
