id,name,jl_number,block_id
7154,Palashpuli,081,51.0
7155,Belgachhi,082,51.0
7156,Kumirpara,083,51.0
7157,Telinawapara,084,51.0
7158,Parulia,085,51.0
7159,Shyambati,095,51.0
7160,Baidyapur,096,51.0
7161,Gobindapur,104,51.0
7162,Kharda Kaibati,105,51.0
7163,Kaybati,106,51.0
7164,Nabagram,001,52.0
7165,Aushgram,002,52.0
7166,Belenda,003,52.0
7167,Fulgram,004,52.0
7168,Indrapur,005,52.0
7169,Pakurmuri,006,52.0
7170,Baghasan,007,52.0
7171,Chhoto Dheria,008,52.0
7172,Atashpur,009,52.0
7173,Jaypur,010,52.0
7174,Khanpur,011,52.0
7175,Bhojpur,012,52.0
7176,Kalui,013,52.0
7177,Susuna,014,52.0
7178,Ghoradanga,015,52.0
7179,Hosenpur,016,52.0
7180,Banui,017,52.0
7181,Gopalnagar,018,52.0
7182,Paschim Mamudpur,019,52.0
7183,Paschim Kharampur,020,52.0
7184,Tula,021,52.0
7185,Bhandarpur,022,52.0
7186,Panbareya,023,52.0
7187,Shushuniya,024,52.0
7188,Mulgram,025,52.0
7189,Sijna,026,52.0
7190,Ujna,027,52.0
7191,Bhadai,028,52.0
7192,Kharampur,029,52.0
7193,Jhikra,030,52.0
7194,Tajpur,031,52.0
7195,Kamra,032,52.0
7196,Mitani,033,52.0
7197,Budhpur,034,52.0
7198,Kuli,035,52.0
7199,Kaleswar,036,52.0
7200,Balarampur,037,52.0
7201,Singhali,038,52.0
7202,Balijuri,039,52.0
7203,Jayrampur,040,52.0
7204,Manteswar,041,52.0
7205,Lohar,042,52.0
7206,Patikhaldanga,043,52.0
7207,Varucha,044,52.0
7208,Daukadanga,045,52.0
7209,Patun,046,52.0
7210,Bhurkunda,047,52.0
7211,Dhenuya,048,52.0
7212,Galatun,049,52.0
7213,Sahajadpur,050,52.0
7214,Putshudichak,051,52.0
7215,Purba Khanpur,052,52.0
7216,Charkadanga,053,52.0
7217,Bamunpara,054,52.0
7218,Gulitadaspur,055,52.0
7219,Kasa,056,52.0
7220,Samaspur,057,52.0
7221,Hurkadanga,058,52.0
7222,Lohana,059,52.0
7223,Natungram,060,52.0
7224,Bara Kalmi,061,52.0
7225,Sirajpur,062,52.0
7226,Purba Balarampur,063,52.0
7227,Putsuri,064,52.0
7228,Bigha,065,52.0
7229,Denur,066,52.0
7230,Mausa,067,52.0
7231,Ibrambad,068,52.0
7232,Sahapur,069,52.0
7233,Ruigaria,070,52.0
7234,Kusumgram,071,52.0
7235,Kulut,072,52.0
7236,Akbarnagar,073,52.0
7237,Kanchandanga,074,52.0
7238,Hatdanga,075,52.0
7239,Chak Brahmapur,076,52.0
7240,Uttardihi,077,52.0
7241,Masdanga,078,52.0
7242,Kaigram,079,52.0
7243,Brahmapur,080,52.0
7244,Routhgram,081,52.0
7245,Dwari,082,52.0
7246,Mathura,083,52.0
7247,Hazrapur,084,52.0
7248,Chak Dhabari,085,52.0
7249,Sutra,086,52.0
7250,Garh Sonadanga,087,52.0
