id,name,jl_number,block_id
36198,Sirjam,117,279.0
36199,Nandardi,118,279.0
36200,Bharatdi (119),119,279.0
36201,Murlu,120,279.0
36202,Palsara,121,279.0
36203,Paharpur,122,279.0
36204,Gayapahari,123,279.0
36205,Nischintapur,124,279.0
36206,Dejori,125,279.0
36207,Shyambathan,126,279.0
36208,Dhulapahari,127,279.0
36209,Barra,128,279.0
36210,Jinamanipur,129,279.0
36211,Ragamatia,130,279.0
36212,Mushila,131,279.0
36213,Kadori,132,279.0
36214,Chapri,133,279.0
36215,Jagannathdi,134,279.0
36216,Lari,135,279.0
36217,Balarampur,136,279.0
36218,Jamkiri,137,279.0
36219,Haridi,138,279.0
36220,Pabra,139,279.0
36221,Raghunathpur,140,279.0
36222,Barbendia,141,279.0
36223,Kultore,142,279.0
36224,Jibanpur (143),143,279.0
36225,Kendtanr,144,279.0
36226,Kalapathar,145,279.0
36227,Kumardi,146,279.0
36228,Bhalukgajar,147,279.0
36229,Sonatholi,148,279.0
36230,Koshjuri,149,279.0
36231,Painja,150,279.0
36232,Bodma,151,279.0
36233,Amlabahal,152,279.0
36234,Malancha,153,279.0
36235,Lalpur alias Jorthol,154,279.0
36236,Akundgora,155,279.0
36237,Dhatla,156,279.0
36238,Bharatchak,157,279.0
36239,Duliabar,158,279.0
36240,Rangamati,159,279.0
36241,Patpur,160,279.0
36242,Amshole,161,279.0
36243,Belyadanga,162,279.0
36244,Dalalata,163,279.0
36245,Baykara,164,279.0
36246,Shiulibari,165,279.0
36247,Sumaidi,166,279.0
36248,Gamarkunri,167,279.0
36249,Dhanera,168,279.0
36250,Ghutlia,169,279.0
36251,Bhuiandi,170,279.0
36252,Liya,171,279.0
36253,Majurjura,172,279.0
36254,Gopalpur(173),173,279.0
36255,Shyampore,174,279.0
36256,Simla,175,279.0
36257,Damankiari,176,279.0
36258,Kashidi,177,279.0
36259,Sunra,178,279.0
36260,Seja,179,279.0
36261,Lakrapahari,180,279.0
36262,Saharbera,181,279.0
36263,Tara,182,279.0
36264,Mrigipahari,183,279.0
36265,Madhupatra,184,279.0
36266,Napharmandaldi,185,279.0
36267,Lajhana,186,279.0
36268,Kushumgora alias Ranjandi,187,279.0
36269,Tilaboni,188,279.0
36270,Bhatin,189,279.0
36271,Jiara,190,279.0
36272,Lakshipur,191,279.0
36273,Chaka,192,279.0
36274,Agardi,193,279.0
36275,Makhayada,194,279.0
36276,Shalaya,195,279.0
36277,Pokhariathol,196,279.0
36278,Pabrapahari,197,279.0
36279,Chitra,198,279.0
36280,Mehi,199,279.0
36281,Ichamara,200,279.0
36282,Uparra,201,279.0
36283,Kharikagora,202,279.0
36284,Ledagora,203,279.0
36285,Isanda,204,279.0
36286,Kaliada,205,279.0
36287,Lara,206,279.0
36288,Parasiadi,207,279.0
36289,Kustor,208,279.0
36290,Hadalda,209,279.0
36291,Gopalchak (210),210,279.0
36292,Jambad,211,279.0
36293,Kathgora,212,279.0
36294,Bharatpur,001,280.0
36295,Gopalchak,002,280.0
36296,Beliadanga,003,280.0
36297,Naynakuri,004,280.0
36298,Lakshyabad,005,280.0
36299,Ranipur (006),006,280.0
36300,Jorberya,007,280.0
36301,Bhouramahal,008,280.0
36302,Dhanibari,009,280.0
36303,Anchkoda,010,280.0
36304,Dumurhir,011,280.0
36305,Hansapathar,012,280.0
36306,Balarampur,013,280.0
36307,Naragorya,014,280.0
36308,Bhaldubi,015,280.0
36309,Asta,016,280.0
36310,Kulbana,017,280.0
36311,Baghraibari,018,280.0
