,id,name,jl_number,block_id,created_at,updated_at
10000,11406,Rana,039,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10001,11407,Krishnanagar,040,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10002,11408,Palgoria,041,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10003,11409,Bachhri,042,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10004,11410,Danpatia,043,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10005,11411,Chilara,044,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10006,11412,Sajnagachi,045,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10007,11413,Ganeshpur,046,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10008,11414,Paschim - Gajipur,047,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10009,11415,Garchumuk,048,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10010,11416,Bar - Garchumuk,049,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10011,11417,Bargram,050,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10012,11418,Jowarkol,051,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10013,11419,Chhoto - Radhanagar,052,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10014,11420,Narottampur,053,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10015,11421,Ankul,054,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10016,11422,Moula,055,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10017,11423,Satghara,056,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10018,11424,Kharuberia,057,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10019,11425,Radhanagar,058,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10020,11426,Tripurapur,059,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10021,11427,Khajri,060,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10022,11428,Sadashibpur,061,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10023,11429,Uddhabpur,062,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10024,11430,Paschim - Basudevpur,063,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10025,11431,Ramnagar,064,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10026,11432,Anantapur,065,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10027,11433,Jhumjumi,066,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10028,11434,Narikeldaha,067,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10029,11435,Dehi - Mondalghat,068,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10030,11436,Ajodhya,071,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10031,11437,Chalitapara,072,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10032,11438,Sultanpur,073,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10033,11439,Bainchi,074,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10034,11440,Narayanpur,075,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10035,11441,Gobindapur,076,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10036,11442,Joynagore,077,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10037,11443,Morshal,078,101.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10038,11451,Krishnapur Chandanpur,001,103.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10039,11452,Iswarbaha,002,103.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10040,11453,Debanandapur,003,103.0,2015-11-04 18:31:42.000000,2015-11-04 18:31:42.000000
10041,11454,Manushpur,004,103.0,2015-11-04 18:31:43.000000,2015-11-04 18:31:43.000000
10042,11455,Kajidanga,005,103.0,2015-11-04 18:31:43.000000,2015-11-04 18:31:43.000000
10043,11456,Naldanga,006,103.0,2015-11-04 18:31:43.000000,2015-11-04 18:31:43.000000
10044,11457,Keota,007,103.0,2015-11-04 18:31:43.000000,2015-11-04 18:31:43.000000
