,id,name,jl_number,block_id,created_at,updated_at
12000,13994,Pashchim Bargila,045,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12001,13995,Chapgar,046,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12002,13996,Purbba Bargila,047,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12003,13997,Bet Gara,048,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12004,13998,Amguri,049,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12005,13999,Uttar Khagrabari,050,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12006,14000,Madhya Khagrabari,051,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12007,14001,Dakshin Khagrabari,052,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12008,14002,Uttar Madhab Dangga,053,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12009,14003,Madhabdangga,054,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12010,14004,Dakshin Madhabdangga,055,124.0,2015-11-04 18:32:27.000000,2015-11-04 18:32:27.000000
12011,14005,Dakshin Danggapara,056,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
12012,14006,Purbba Shishuyabari,057,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
12013,14007,Bara Kamat,058,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
12014,14008,Penchahati,059,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
12015,14009,Khayer Khal,061,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
12016,14010,Bhotpatti,062,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
12017,14011,Balasan,063,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
12018,14012,Purbba Harmati,064,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
12019,14013,Pashchim Harmati,065,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
12020,14014,Dakshin Bhuskadangga,066,124.0,2015-11-04 18:32:28.000000,2015-11-04 18:32:28.000000
