id,name,jl_number,block_id
31951,Ratanpur,074,239.0
31952,Belsanda,075,239.0
31953,Ganeshbati Chak,076,239.0
31954,Dhamua,077,239.0
31955,Dhumarpahar,078,239.0
31956,Dakshin Debagram,079,239.0
31957,Buzrug Debagram,080,239.0
31958,Brahamanigram,081,239.0
31959,Dangrail,082,239.0
31960,Pania,083,239.0
31961,Dhalsa,084,239.0
31962,Kundar,085,239.0
31963,Jugor,086,239.0
31964,Chak Chachua,087,239.0
31965,Popara,088,239.0
31966,Sagardighi,089,239.0
31967,Bergram,090,239.0
31968,Santoshpur,091,239.0
31969,Chandanbati,092,239.0
31970,Durgapur,093,239.0
31971,Kanidighi,094,239.0
31972,Parulia,095,239.0
31973,Shamsabad,096,239.0
31974,Katherpara,097,239.0
31975,Aheripara,098,239.0
31976,Fulban,099,239.0
31977,Haldi,100,239.0
31978,Harhari,101,239.0
31979,Baragara,102,239.0
31980,Taspara,103,239.0
31981,Bayar,104,239.0
31982,Iswarbati,105,239.0
31983,Dingali,106,239.0
31984,Chandigram Raghunathpur,107,239.0
31985,Senpara,108,239.0
31986,Paschim Matiapara,109,239.0
31987,Olahar,110,239.0
31988,Kumarthi,111,239.0
31989,Narasinghapur,112,239.0
31990,Binodbati,113,239.0
31991,Ballabhbati,114,239.0
31992,Bharat Chanda,115,239.0
31993,Krishnapur,116,239.0
31994,Nanoch,117,239.0
31995,Paranpur,118,239.0
31996,Diara,119,239.0
31997,Rambhadrapur,120,239.0
31998,Saundighi,121,239.0
31999,Garerpahar,122,239.0
32000,Tagarpur,123,239.0
32001,Hosenpur,124,239.0
32002,Math Tagarpur,125,239.0
32003,Putimari,126,239.0
32004,Hukumapur,127,239.0
32005,Barala,128,239.0
32006,Sahapur,129,239.0
32007,Tokardanga,130,239.0
32008,Dakshin Dangapara,131,239.0
32009,Itor,132,239.0
32010,Ujalmanik,133,239.0
32011,Kanchia Bishnudanga,134,239.0
32012,Naopara,135,239.0
32013,Dangapara,136,239.0
32014,Bangsia,137,239.0
32015,Bishnupur,138,239.0
32016,Kaliadanga,139,239.0
32017,Balia,140,239.0
32018,Kabilpur,141,239.0
32019,Char Kabilpur,142,239.0
32020,Char Mathurapur,143,239.0
32021,Char Siteshnagar,144,239.0
32022,Jamalmati,145,239.0
32023,Uladanga,146,239.0
32024,Chak Gopalpur,147,239.0
32025,Uattar Ramnagar,148,239.0
32026,Pilki,149,239.0
32027,Chamunda,150,239.0
32028,Balagachhi,151,239.0
32029,Ramanamahadipur,152,239.0
32030,Singeswari Gouripur,153,239.0
32031,Diar Balagachhi,154,239.0
32032,Arijpur,155,239.0
32033,Dihibaraj,156,239.0
32034,Gopalhat,157,239.0
32035,Lakshmihat,158,239.0
32036,Pait Kaldanga,159,239.0
32037,Nurpur,160,239.0
32038,Mahipal,161,239.0
32039,Bhabki,162,239.0
32040,Jadabpur,163,239.0
32041,Alankar,164,239.0
32042,Bajitpur,165,239.0
32043,Chargachhi,166,239.0
32044,Kundain,167,239.0
32045,Komadda,168,239.0
32046,Chordighi,169,239.0
32047,Ghuguridanga,170,239.0
32048,Sridharpur,171,239.0
32049,Palanda,172,239.0
32050,Khatua,173,239.0
32051,Dakshin Kaliakapur,174,239.0
32052,Baganhat,175,239.0
32053,Hukarhat,176,239.0
32054,Bhunihat,177,239.0
32055,Sinheswari,178,239.0
32056,Char Lalitakuri,179,239.0
32057,Char Sundarpur,180,239.0
32058,Choapukuria,181,239.0
32059,Chaitpur,182,239.0
32060,Kamarpara,183,239.0
32061,Ganja Sinheswari,184,239.0
32062,Dakshin Ramna,185,239.0
32063,Arazi Jadabpur,186,239.0
32064,Gobarddhandanga,187,239.0
32065,Dasturhat,188,239.0
32066,Pardiar,189,239.0
32067,Binod,190,239.0
32068,Dwarikapara,191,239.0
32069,Mansinghapur,192,239.0
32070,Ramnagar,193,239.0
32071,Gosaingram,194,239.0
32072,Baora,195,239.0
32073,Matiapara,196,239.0
32074,Lalipali,197,239.0
32075,Baharagachhi,064,240.0
32076,Phulandar,065,240.0
32077,Malancha,066,240.0
32078,Ratanpur,067,240.0
32079,Ghoramara,068,240.0
32080,Antardwipa,069,240.0
32081,Bhasaipaikar,070,240.0
32082,Adwaitnagar,071,240.0
32083,Napara,072,240.0
32084,Umarpur,073,240.0
32085,Sitarampur,074,240.0
32086,Dogachhi,075,240.0
32087,Arazi Napara,076,240.0
32088,Laskarpur,077,240.0
32089,Mahishathali,078,240.0
32090,Balbalpara,079,240.0
32091,Alamsahi,080,240.0
32092,Basudebpur,081,240.0
32093,Chachanda,082,240.0
32094,Uttar Mahammadpur,083,240.0
32095,Kohetpur,084,240.0
32096,Jaykrishnapur,085,240.0
32097,Dakshin Mahammadpur,086,240.0
32098,Chandnidaha,087,240.0
32099,Kankuria,088,240.0
32100,Jafrabad,089,240.0
32101,Anupnagar,090,240.0
32102,Lalpur,091,240.0
32103,Anantapur,100,240.0
32104,Sikdarpur,101,240.0
32105,Loharpur,102,240.0
32106,Jaladipur,103,240.0
32107,Dhusaripara,104,240.0
32108,Hasimpur,105,240.0
32109,Serpur,106,240.0
32110,Kashimnagar,107,240.0
32111,Nimtita,108,240.0
32112,Durgapur,109,240.0
32113,Dakshin Radhanagar,110,240.0
32114,Haridebpur,111,240.0
32115,kamalpur,112,240.0
32116,Shibpur,113,240.0
32117,Baidyanathpur,119,240.0
32118,Paschim Ramnagar,122,240.0
32119,Panchberia,017,241.0
32120,Kadoa,018,241.0
32121,Arazi Gorsha,019,241.0
32122,Bahutali,020,241.0
32123,Nadai,021,241.0
32124,Sidhari,022,241.0
32125,Hosenpur,023,241.0
32126,Kusumgachhi,024,241.0
32127,Lalupur,025,241.0
32128,Gopalnagar,026,241.0
32129,Amarpur,027,241.0
32130,Bheliyan,028,241.0
32131,Khoskagachhi,029,241.0
32132,Sujaganpur,030,241.0
32133,Mahammadpur,031,241.0
32134,Panchgachhi,032,241.0
32135,Hilora,033,241.0
32136,Kalinagar,034,241.0
32137,Raturi,035,241.0
32138,Shrirampur,036,241.0
32139,Aluani,037,241.0
32140,Mirzzapur,038,241.0
32141,Nazirpur,039,241.0
32142,Banshabati,040,241.0
32143,Gambhira,041,241.0
32144,Dahina,042,241.0
32145,Harua,043,241.0
32146,Arazi Gotha,074,241.0
32147,Arazi Ramakantapur,075,241.0
32148,Chandamari,080,241.0
32149,Gotha,081,241.0
32150,Srirampur,082,241.0
32151,Fatepur,083,241.0
32152,Ramakantapur,084,241.0
32153,Paschim Nurpur Narayanpur,085,241.0
32154,Nurpur,086,241.0
32155,Chak Saiydpur,087,241.0
32156,Fatullapur,088,241.0
32157,Naya Bahadurpur,089,241.0
32158,Panchgachhia,090,241.0
32159,Madna,091,241.0
32160,Sadikpur,092,241.0
32161,Atpalgachhi,093,241.0
32162,Bagdanga,094,241.0
32163,Sujanipara,095,241.0
32164,Bahadurpur,096,241.0
32165,Chak Bahadurpur,097,241.0
32166,Fateullapur (98),098,241.0
32167,Sonapur,099,241.0
32168,Ghorapakia Gangin,100,241.0
32169,Jalangapara,101,241.0
32170,Ahiran,102,241.0
32171,Rosanpur,103,241.0
32172,Bangabari,104,241.0
32173,Alampur,105,241.0
